number,date_time,temp,RH,site,block,treatment,
1,6/12/2017 8:00,69.771,37.867,CBE,2,soy,
2,6/12/2017 8:30,71.274,37.822,CBE,2,soy,
3,6/12/2017 9:00,70.158,39.065,CBE,2,soy,
4,6/12/2017 9:30,71.834,41.149,CBE,2,soy,
5,6/12/2017 10:00,77.378,46.457,CBE,2,soy,
6,6/12/2017 10:30,81.376,50.339,CBE,2,soy,
7,6/12/2017 11:00,84.362,51.039,CBE,2,soy,
8,6/12/2017 11:30,86.936,52.452,CBE,2,soy,
9,6/12/2017 12:00,91.17,47.298,CBE,2,soy,
10,6/12/2017 12:30,88.671,50.127,CBE,2,soy,
11,6/12/2017 13:00,94.753,42.621,CBE,2,soy,
12,6/12/2017 13:30,92.95,45.205,CBE,2,soy,
13,6/12/2017 14:00,90.565,46.073,CBE,2,soy,
14,6/12/2017 14:30,92.997,42.847,CBE,2,soy,
15,6/12/2017 15:00,93.612,41.748,CBE,2,soy,
16,6/12/2017 15:30,93.281,41.292,CBE,2,soy,
17,6/12/2017 16:00,93.517,42.712,CBE,2,soy,
18,6/12/2017 16:30,93.754,40.682,CBE,2,soy,
19,6/12/2017 17:00,93.612,40.674,CBE,2,soy,
20,6/12/2017 17:30,93.754,40.413,CBE,2,soy,
21,6/12/2017 18:00,94.419,39.373,CBE,2,soy,
22,6/12/2017 18:30,92.527,38.962,CBE,2,soy,
23,6/12/2017 19:00,91.963,41.548,CBE,2,soy,
24,6/12/2017 19:30,93.754,41.488,CBE,2,soy,
25,6/12/2017 20:00,92.527,42.484,CBE,2,soy,
26,6/12/2017 20:30,89.224,48.278,CBE,2,soy,
27,6/12/2017 21:00,76.725,74.04,CBE,2,soy,
28,6/12/2017 21:30,72.955,80.938,CBE,2,soy,
29,6/12/2017 22:00,71.274,86.771,CBE,2,soy,
30,6/12/2017 22:30,70.887,88.452,CBE,2,soy,
31,6/12/2017 23:00,69.901,89.44,CBE,2,soy,
32,6/12/2017 23:30,70.543,89.58,CBE,2,soy,
33,6/13/2017 0:00,70.846,88.145,CBE,2,soy,
34,6/13/2017 0:30,73.904,78.912,CBE,2,soy,
35,6/13/2017 1:00,75.247,71.794,CBE,2,soy,
36,6/13/2017 1:30,71.92,79.736,CBE,2,soy,
37,6/13/2017 2:00,69.901,84.826,CBE,2,soy,
38,6/13/2017 2:30,69.471,85.298,CBE,2,soy,
39,6/13/2017 3:00,69.343,85.916,CBE,2,soy,
40,6/13/2017 3:30,68.4,88.479,CBE,2,soy,
41,6/13/2017 4:00,68.698,87.481,CBE,2,soy,
42,6/13/2017 4:30,68.443,88.267,CBE,2,soy,
43,6/13/2017 5:00,69.256,85.685,CBE,2,soy,
44,6/13/2017 5:30,69.256,86.951,CBE,2,soy,
45,6/13/2017 6:00,71.017,82.902,CBE,2,soy,
46,6/13/2017 6:30,70.673,84.757,CBE,2,soy,
47,6/13/2017 7:00,72.567,80.324,CBE,2,soy,
48,6/13/2017 7:30,75.029,76.825,CBE,2,soy,
49,6/13/2017 8:00,77.684,72.139,CBE,2,soy,
50,6/13/2017 8:30,80.978,66.26,CBE,2,soy,
51,6/13/2017 9:00,84.094,61.135,CBE,2,soy,
52,6/13/2017 9:30,84.632,58.745,CBE,2,soy,
53,6/13/2017 10:00,86.301,57.151,CBE,2,soy,
54,6/13/2017 10:30,88.81,52.819,CBE,2,soy,
55,6/13/2017 11:00,90.333,51.026,CBE,2,soy,
56,6/13/2017 11:30,89.776,52.441,CBE,2,soy,
57,6/13/2017 12:00,92.997,48.868,CBE,2,soy,
58,6/13/2017 12:30,93.281,48.855,CBE,2,soy,
59,6/13/2017 13:00,93.659,45.815,CBE,2,soy,
60,6/13/2017 13:30,96.627,40.919,CBE,2,soy,
61,6/13/2017 14:00,98.038,40.766,CBE,2,soy,
62,6/13/2017 14:30,96.579,41.186,CBE,2,soy,
63,6/13/2017 15:00,97.599,42.527,CBE,2,soy,
64,6/13/2017 15:30,95.76,44.155,CBE,2,soy,
65,6/13/2017 16:00,98.872,41.525,CBE,2,soy,
66,6/13/2017 16:30,96.822,43.419,CBE,2,soy,
67,6/13/2017 17:00,92.527,48.31,CBE,2,soy,
68,6/13/2017 17:30,83.779,56.408,CBE,2,soy,
69,6/13/2017 18:00,82.396,72.931,CBE,2,soy,
70,6/13/2017 18:30,85.622,68.84,CBE,2,soy,
71,6/13/2017 19:00,83.467,74.323,CBE,2,soy,
72,6/13/2017 19:30,86.799,71.471,CBE,2,soy,
73,6/13/2017 20:00,84.227,70.575,CBE,2,soy,
74,6/13/2017 20:30,79.128,78.129,CBE,2,soy,
75,6/13/2017 21:00,77.77,81.198,CBE,2,soy,
76,6/13/2017 21:30,75.985,82.833,CBE,2,soy,
77,6/13/2017 22:00,74.77,85.942,CBE,2,soy,
78,6/13/2017 22:30,74.899,83.35,CBE,2,soy,
79,6/13/2017 23:00,74.338,83.197,CBE,2,soy,
80,6/13/2017 23:30,72.61,86.611,CBE,2,soy,
81,6/14/2017 0:00,71.317,89.956,CBE,2,soy,
82,6/14/2017 0:30,72.437,87.914,CBE,2,soy,
83,6/14/2017 1:00,71.317,90.147,CBE,2,soy,
84,6/14/2017 1:30,69.685,92.544,CBE,2,soy,
85,6/14/2017 2:00,68.056,95.029,CBE,2,soy,
86,6/14/2017 2:30,68.227,95.555,CBE,2,soy,
87,6/14/2017 3:00,67.456,96.312,CBE,2,soy,
88,6/14/2017 3:30,68.484,96.724,CBE,2,soy,
89,6/14/2017 4:00,68.785,96.031,CBE,2,soy,
90,6/14/2017 4:30,68.227,96.634,CBE,2,soy,
91,6/14/2017 5:00,69.085,96.127,CBE,2,soy,
92,6/14/2017 5:30,69.557,95.456,CBE,2,soy,
93,6/14/2017 6:00,69.213,97.617,CBE,2,soy,
94,6/14/2017 6:30,68.828,98.448,CBE,2,soy,
95,6/14/2017 7:00,68.999,98.369,CBE,2,soy,
96,6/14/2017 7:30,69.942,98.196,CBE,2,soy,
97,6/14/2017 8:00,70.759,96.845,CBE,2,soy,
98,6/14/2017 8:30,77.203,90.057,CBE,2,soy,
99,6/14/2017 9:00,73.774,90.586,CBE,2,soy,
100,6/14/2017 9:30,74.64,90.073,CBE,2,soy,
101,6/14/2017 10:00,81.111,80.702,CBE,2,soy,
102,6/14/2017 10:30,83.736,72.684,CBE,2,soy,
103,6/14/2017 11:00,84.945,70.588,CBE,2,soy,
104,6/14/2017 11:30,83.332,70.995,CBE,2,soy,
105,6/14/2017 12:00,87.163,61.092,CBE,2,soy,
106,6/14/2017 12:30,88.763,60.573,CBE,2,soy,
107,6/14/2017 13:00,90.891,56.986,CBE,2,soy,
108,6/14/2017 13:30,92.809,52.506,CBE,2,soy,
109,6/14/2017 14:00,93.47,47.981,CBE,2,soy,
110,6/14/2017 14:30,95.374,48.178,CBE,2,soy,
111,6/14/2017 15:00,89.87,53.254,CBE,2,soy,
112,6/14/2017 15:30,95.567,46.736,CBE,2,soy,
113,6/14/2017 16:00,91.963,51.015,CBE,2,soy,
114,6/14/2017 16:30,90.194,50.983,CBE,2,soy,
115,6/14/2017 17:00,92.01,48.799,CBE,2,soy,
116,6/14/2017 17:30,91.683,47.825,CBE,2,soy,
117,6/14/2017 18:00,86.754,57.789,CBE,2,soy,
118,6/14/2017 18:30,85.262,58.986,CBE,2,soy,
119,6/14/2017 19:00,84.9,60.77,CBE,2,soy,
120,6/14/2017 19:30,81.819,66.31,CBE,2,soy,
121,6/14/2017 20:00,80.272,68.25,CBE,2,soy,
122,6/14/2017 20:30,78.91,71.019,CBE,2,soy,
123,6/14/2017 21:00,78.69,71.413,CBE,2,soy,
124,6/14/2017 21:30,67.285,96.103,CBE,2,soy,
125,6/14/2017 22:00,67.199,97.111,CBE,2,soy,
126,6/14/2017 22:30,67.329,98.017,CBE,2,soy,
127,6/14/2017 23:00,67.114,98.322,CBE,2,soy,
128,6/14/2017 23:30,67.285,98.789,CBE,2,soy,
129,6/15/2017 0:00,66.985,99.003,CBE,2,soy,
130,6/15/2017 0:30,67.285,99.281,CBE,2,soy,
131,6/15/2017 1:00,67.757,99.378,CBE,2,soy,
132,6/15/2017 1:30,68.227,99.5,CBE,2,soy,
133,6/15/2017 2:00,68.013,99.572,CBE,2,soy,
134,6/15/2017 2:30,68.185,99.649,CBE,2,soy,
135,6/15/2017 3:00,67.372,99.939,CBE,2,soy,
136,6/15/2017 3:30,67.543,100,CBE,2,soy,
137,6/15/2017 4:00,67.543,100,CBE,2,soy,
138,6/15/2017 4:30,67.543,100,CBE,2,soy,
139,6/15/2017 5:00,67.456,99.436,CBE,2,soy,
140,6/15/2017 5:30,66.943,99.874,CBE,2,soy,
141,6/15/2017 6:00,65.487,100,CBE,2,soy,
142,6/15/2017 6:30,66.344,100,CBE,2,soy,
143,6/15/2017 7:00,67.242,99.765,CBE,2,soy,
144,6/15/2017 7:30,68.013,98.3,CBE,2,soy,
145,6/15/2017 8:00,69.685,95.316,CBE,2,soy,
146,6/15/2017 8:30,72.783,91.024,CBE,2,soy,
147,6/15/2017 9:00,77.072,85.562,CBE,2,soy,
148,6/15/2017 9:30,77.029,87.234,CBE,2,soy,
149,6/15/2017 10:00,77.464,82.246,CBE,2,soy,
150,6/15/2017 10:30,78.559,79.74,CBE,2,soy,
151,6/15/2017 11:00,79.655,73.176,CBE,2,soy,
152,6/15/2017 11:30,85.217,62.415,CBE,2,soy,
153,6/15/2017 12:00,82.085,65.054,CBE,2,soy,
154,6/15/2017 12:30,85.532,59.103,CBE,2,soy,
155,6/15/2017 13:00,86.754,55.443,CBE,2,soy,
156,6/15/2017 13:30,88.03,54.235,CBE,2,soy,
157,6/15/2017 14:00,86.527,56.537,CBE,2,soy,
158,6/15/2017 14:30,89.823,51.248,CBE,2,soy,
159,6/15/2017 15:00,86.664,53.905,CBE,2,soy,
160,6/15/2017 15:30,89.177,52.428,CBE,2,soy,
161,6/15/2017 16:00,87.163,52.662,CBE,2,soy,
162,6/15/2017 16:30,84.272,57.426,CBE,2,soy,
163,6/15/2017 17:00,86.799,53.468,CBE,2,soy,
164,6/15/2017 17:30,85.532,56.266,CBE,2,soy,
165,6/15/2017 18:00,85.757,56.062,CBE,2,soy,
166,6/15/2017 18:30,86.664,57.149,CBE,2,soy,
167,6/15/2017 19:00,86.211,57.365,CBE,2,soy,
168,6/15/2017 19:30,85.984,58.167,CBE,2,soy,
169,6/15/2017 20:00,87.255,58.809,CBE,2,soy,
170,6/15/2017 20:30,85.262,60.145,CBE,2,soy,
171,6/15/2017 21:00,75.117,71.869,CBE,2,soy,
172,6/15/2017 21:30,72.567,80.097,CBE,2,soy,
173,6/15/2017 22:00,68.099,90.605,CBE,2,soy,
174,6/15/2017 22:30,65.872,94.453,CBE,2,soy,
175,6/15/2017 23:00,65.145,95.347,CBE,2,soy,
176,6/15/2017 23:30,64.332,96.17,CBE,2,soy,
177,6/16/2017 0:00,63.005,97.787,CBE,2,soy,
178,6/16/2017 0:30,62.661,98.738,CBE,2,soy,
179,6/16/2017 1:00,62.406,98.93,CBE,2,soy,
180,6/16/2017 1:30,62.062,98.673,CBE,2,soy,
181,6/16/2017 2:00,62.319,99.224,CBE,2,soy,
182,6/16/2017 2:30,61.677,99.865,CBE,2,soy,
183,6/16/2017 3:00,62.49,100,CBE,2,soy,
184,6/16/2017 3:30,66.344,93.939,CBE,2,soy,
185,6/16/2017 4:00,65.145,93.849,CBE,2,soy,
186,6/16/2017 4:30,64.418,95.687,CBE,2,soy,
187,6/16/2017 5:00,65.872,93.661,CBE,2,soy,
188,6/16/2017 5:30,68.313,89.418,CBE,2,soy,
189,6/16/2017 6:00,67.543,92.46,CBE,2,soy,
190,6/16/2017 6:30,66.9,94.758,CBE,2,soy,
191,6/16/2017 7:00,67.285,96.47,CBE,2,soy,
192,6/16/2017 7:30,69.17,93.382,CBE,2,soy,
193,6/16/2017 8:00,70.115,90.066,CBE,2,soy,
194,6/16/2017 8:30,78.514,73.084,CBE,2,soy,
195,6/16/2017 9:00,80.802,69.327,CBE,2,soy,
196,6/16/2017 9:30,81.244,64.057,CBE,2,soy,
197,6/16/2017 10:00,75.637,70.059,CBE,2,soy,
198,6/16/2017 10:30,80.845,61.313,CBE,2,soy,
199,6/16/2017 11:00,80.272,59.9,CBE,2,soy,
200,6/16/2017 11:30,81.597,56.671,CBE,2,soy,
201,6/16/2017 12:00,82.841,56.143,CBE,2,soy,
202,6/16/2017 12:30,78.953,58.545,CBE,2,soy,
203,6/16/2017 13:00,77.727,65.192,CBE,2,soy,
204,6/16/2017 13:30,76.419,68.618,CBE,2,soy,
205,6/16/2017 14:00,80.184,59.427,CBE,2,soy,
206,6/16/2017 14:30,80.845,59.453,CBE,2,soy,
207,6/16/2017 15:00,80.492,57.176,CBE,2,soy,
208,6/16/2017 15:30,81.154,56.509,CBE,2,soy,
209,6/16/2017 16:00,78.953,60.312,CBE,2,soy,
210,6/16/2017 16:30,81.864,58.761,CBE,2,soy,
211,6/16/2017 17:00,86.482,54.721,CBE,2,soy,
212,6/16/2017 17:30,84.272,49.681,CBE,2,soy,
213,6/16/2017 18:00,85.082,48.379,CBE,2,soy,
214,6/16/2017 18:30,85.802,47.52,CBE,2,soy,
215,6/16/2017 19:00,84.227,47.606,CBE,2,soy,
216,6/16/2017 19:30,84.767,51.423,CBE,2,soy,
217,6/16/2017 20:00,87.028,53.261,CBE,2,soy,
218,6/16/2017 20:30,83.467,58.928,CBE,2,soy,
219,6/16/2017 21:00,71.92,77.28,CBE,2,soy,
220,6/16/2017 21:30,69.427,81.418,CBE,2,soy,
221,6/16/2017 22:00,66.087,89.309,CBE,2,soy,
222,6/16/2017 22:30,67.028,86.881,CBE,2,soy,
223,6/16/2017 23:00,64.974,91.464,CBE,2,soy,
224,6/16/2017 23:30,63.304,93.719,CBE,2,soy,
225,6/17/2017 0:00,62.406,95.654,CBE,2,soy,
226,6/17/2017 0:30,63.561,94.333,CBE,2,soy,
227,6/17/2017 1:00,65.53,90.846,CBE,2,soy,
228,6/17/2017 1:30,65.658,89.871,CBE,2,soy,
229,6/17/2017 2:00,66.344,86.355,CBE,2,soy,
230,6/17/2017 2:30,65.829,87.813,CBE,2,soy,
231,6/17/2017 3:00,66.943,85.994,CBE,2,soy,
232,6/17/2017 3:30,67.757,85.218,CBE,2,soy,
233,6/17/2017 4:00,67.627,86.411,CBE,2,soy,
234,6/17/2017 4:30,68.013,86.899,CBE,2,soy,
235,6/17/2017 5:00,68.27,87.124,CBE,2,soy,
236,6/17/2017 5:30,66.429,92.119,CBE,2,soy,
237,6/17/2017 6:00,66.043,93.049,CBE,2,soy,
238,6/17/2017 6:30,68.913,88.982,CBE,2,soy,
239,6/17/2017 7:00,70.63,86.716,CBE,2,soy,
240,6/17/2017 7:30,71.274,87.13,CBE,2,soy,
241,6/17/2017 8:00,72.869,86.034,CBE,2,soy,
242,6/17/2017 8:30,73.299,84.276,CBE,2,soy,
243,6/17/2017 9:00,75.898,81.089,CBE,2,soy,
244,6/17/2017 9:30,74.034,84.2,CBE,2,soy,
245,6/17/2017 10:00,74.206,84.977,CBE,2,soy,
246,6/17/2017 10:30,73.688,87.415,CBE,2,soy,
247,6/17/2017 11:00,75.724,84.297,CBE,2,soy,
248,6/17/2017 11:30,76.986,82.33,CBE,2,soy,
249,6/17/2017 12:00,77.815,80.114,CBE,2,soy,
250,6/17/2017 12:30,77.117,79.86,CBE,2,soy,
251,6/17/2017 13:00,77.421,76.745,CBE,2,soy,
252,6/17/2017 13:30,77.99,75.584,CBE,2,soy,
253,6/17/2017 14:00,79.128,73.326,CBE,2,soy,
254,6/17/2017 14:30,83.064,69.04,CBE,2,soy,
255,6/17/2017 15:00,87.163,58.202,CBE,2,soy,
256,6/17/2017 15:30,89.638,55.737,CBE,2,soy,
257,6/17/2017 16:00,90.1,51.365,CBE,2,soy,
258,6/17/2017 16:30,85.939,56.394,CBE,2,soy,
259,6/17/2017 17:00,88.03,54.203,CBE,2,soy,
260,6/17/2017 17:30,89.132,50.517,CBE,2,soy,
261,6/17/2017 18:00,82.976,61.347,CBE,2,soy,
262,6/17/2017 18:30,80.404,79.666,CBE,2,soy,
263,6/17/2017 19:00,75.551,84.669,CBE,2,soy,
264,6/17/2017 19:30,75.029,88.17,CBE,2,soy,
