number,date_time,temp,RH,site,block,treatment
1,6/12/2017 17:00,97.551,36.282,CBE,2,bare
2,6/12/2017 17:30,96.53,37.83,CBE,2,bare
3,6/12/2017 18:00,96.386,36.835,CBE,2,bare
4,6/12/2017 18:30,94.705,37.119,CBE,2,bare
5,6/12/2017 19:00,94.944,38.591,CBE,2,bare
6,6/12/2017 19:30,99.464,37.479,CBE,2,bare
7,6/12/2017 20:00,99.316,35.069,CBE,2,bare
8,6/12/2017 20:30,93.328,41.664,CBE,2,bare
9,6/12/2017 21:00,78.953,64.09,CBE,2,bare
10,6/12/2017 21:30,75.637,72.778,CBE,2,bare
11,6/12/2017 22:00,73.645,80.48,CBE,2,bare
12,6/12/2017 22:30,73.083,80.243,CBE,2,bare
13,6/12/2017 23:00,72.093,82.669,CBE,2,bare
14,6/12/2017 23:30,72.696,85.401,CBE,2,bare
15,6/13/2017 0:00,72.178,84.332,CBE,2,bare
16,6/13/2017 0:30,74.727,76.733,CBE,2,bare
17,6/13/2017 1:00,76.071,69.27,CBE,2,bare
18,6/13/2017 1:30,73.818,73.989,CBE,2,bare
19,6/13/2017 2:00,71.577,79.866,CBE,2,bare
20,6/13/2017 2:30,71.146,80.807,CBE,2,bare
21,6/13/2017 3:00,70.372,83.047,CBE,2,bare
22,6/13/2017 3:30,70.329,83.293,CBE,2,bare
23,6/13/2017 4:00,68.999,85.9,CBE,2,bare
24,6/13/2017 4:30,69.814,84.76,CBE,2,bare
25,6/13/2017 5:00,69.6,84.455,CBE,2,bare
26,6/13/2017 5:30,70.029,85.119,CBE,2,bare
27,6/13/2017 6:00,71.92,79.964,CBE,2,bare
28,6/13/2017 6:30,71.533,82.01,CBE,2,bare
29,6/13/2017 7:00,73.17,77.422,CBE,2,bare
30,6/13/2017 7:30,75.985,73.227,CBE,2,bare
31,6/13/2017 8:00,77.292,71.802,CBE,2,bare
32,6/13/2017 8:30,80.625,64.917,CBE,2,bare
33,6/13/2017 9:00,81.73,61.917,CBE,2,bare
34,6/13/2017 9:30,84.587,57.042,CBE,2,bare
35,6/13/2017 10:00,85.397,55.558,CBE,2,bare
36,6/13/2017 10:30,87.346,52.194,CBE,2,bare
37,6/13/2017 11:00,90.379,50.867,CBE,2,bare
38,6/13/2017 11:30,91.308,48.16,CBE,2,bare
39,6/13/2017 12:00,89.593,50.128,CBE,2,bare
40,6/13/2017 12:30,89.685,51.399,CBE,2,bare
41,6/13/2017 13:00,90.518,46.958,CBE,2,bare
42,6/13/2017 13:30,92.151,45.683,CBE,2,bare
43,6/13/2017 14:00,98.724,39.347,CBE,2,bare
44,6/13/2017 14:30,95.374,40.407,CBE,2,bare
45,6/13/2017 15:00,99.167,38.896,CBE,2,bare
46,6/13/2017 15:30,98.971,39.633,CBE,2,bare
47,6/13/2017 16:00,103.129,36.645,CBE,2,bare
48,6/13/2017 16:30,97.551,39.213,CBE,2,bare
49,6/13/2017 17:00,91.123,49.26,CBE,2,bare
50,6/13/2017 17:30,83.021,58.609,CBE,2,bare
51,6/13/2017 18:00,83.691,72.381,CBE,2,bare
52,6/13/2017 18:30,85.442,69.277,CBE,2,bare
53,6/13/2017 19:00,84.542,70.034,CBE,2,bare
54,6/13/2017 19:30,88.947,66.716,CBE,2,bare
55,6/13/2017 20:00,84.677,69.049,CBE,2,bare
56,6/13/2017 20:30,79.48,77.325,CBE,2,bare
57,6/13/2017 21:00,78.296,80.256,CBE,2,bare
58,6/13/2017 21:30,75.898,83.077,CBE,2,bare
59,6/13/2017 22:00,75.029,85.584,CBE,2,bare
60,6/13/2017 22:30,74.943,83.947,CBE,2,bare
61,6/13/2017 23:00,74.424,83.207,CBE,2,bare
62,6/13/2017 23:30,72.869,86.229,CBE,2,bare
63,6/14/2017 0:00,71.62,89.151,CBE,2,bare
64,6/14/2017 0:30,72.567,87.931,CBE,2,bare
65,6/14/2017 1:00,71.274,90.005,CBE,2,bare
66,6/14/2017 1:30,69.942,92.365,CBE,2,bare
67,6/14/2017 2:00,68.913,93.852,CBE,2,bare
68,6/14/2017 2:30,68.742,95.022,CBE,2,bare
69,6/14/2017 3:00,68.484,95.328,CBE,2,bare
70,6/14/2017 3:30,68.828,95.932,CBE,2,bare
71,6/14/2017 4:00,68.913,95.786,CBE,2,bare
72,6/14/2017 4:30,68.571,96.026,CBE,2,bare
73,6/14/2017 5:00,69.129,96.133,CBE,2,bare
74,6/14/2017 5:30,69.643,95.389,CBE,2,bare
75,6/14/2017 6:00,69.514,96.295,CBE,2,bare
76,6/14/2017 6:30,68.999,97.585,CBE,2,bare
77,6/14/2017 7:00,69.17,97.977,CBE,2,bare
78,6/14/2017 7:30,70.158,97.599,CBE,2,bare
79,6/14/2017 8:00,71.317,96.027,CBE,2,bare
80,6/14/2017 8:30,78.822,88.386,CBE,2,bare
81,6/14/2017 9:00,76.071,85.099,CBE,2,bare
82,6/14/2017 9:30,75.551,86.683,CBE,2,bare
83,6/14/2017 10:00,83.332,74.22,CBE,2,bare
84,6/14/2017 10:30,87.346,63.321,CBE,2,bare
85,6/14/2017 11:00,86.981,65.267,CBE,2,bare
86,6/14/2017 11:30,86.527,60.786,CBE,2,bare
87,6/14/2017 12:00,89.685,56.156,CBE,2,bare
88,6/14/2017 12:30,90.424,56.662,CBE,2,bare
89,6/14/2017 13:00,93.423,50.403,CBE,2,bare
90,6/14/2017 13:30,95.952,48.052,CBE,2,bare
91,6/14/2017 14:00,97.111,42.363,CBE,2,bare
92,6/14/2017 14:30,96.289,44.589,CBE,2,bare
93,6/14/2017 15:00,90.471,50.809,CBE,2,bare
94,6/14/2017 15:30,97.745,43.309,CBE,2,bare
95,6/14/2017 16:00,93.139,47.432,CBE,2,bare
96,6/14/2017 16:30,91.17,50.013,CBE,2,bare
97,6/14/2017 17:00,94.23,45.852,CBE,2,bare
98,6/14/2017 17:30,93.848,44.766,CBE,2,bare
99,6/14/2017 18:00,88.167,55.428,CBE,2,bare
100,6/14/2017 18:30,86.709,56.583,CBE,2,bare
101,6/14/2017 19:00,86.709,57.596,CBE,2,bare
102,6/14/2017 19:30,82.665,64.281,CBE,2,bare
103,6/14/2017 20:00,80.537,66.946,CBE,2,bare
104,6/14/2017 20:30,79.041,70.228,CBE,2,bare
105,6/14/2017 21:00,78.865,70.955,CBE,2,bare
106,6/14/2017 21:30,67.413,95.543,CBE,2,bare
107,6/14/2017 22:00,67.285,96.993,CBE,2,bare
108,6/14/2017 22:30,67.329,97.652,CBE,2,bare
109,6/14/2017 23:00,67.242,98.16,CBE,2,bare
110,6/14/2017 23:30,67.285,98.582,CBE,2,bare
111,6/15/2017 0:00,66.985,98.848,CBE,2,bare
112,6/15/2017 0:30,67.242,99.093,CBE,2,bare
113,6/15/2017 1:00,67.798,99.255,CBE,2,bare
114,6/15/2017 1:30,68.27,99.248,CBE,2,bare
115,6/15/2017 2:00,68.056,99.371,CBE,2,bare
116,6/15/2017 2:30,68.313,99.513,CBE,2,bare
117,6/15/2017 3:00,67.543,99.707,CBE,2,bare
118,6/15/2017 3:30,67.627,99.823,CBE,2,bare
119,6/15/2017 4:00,67.543,99.862,CBE,2,bare
120,6/15/2017 4:30,67.885,99.965,CBE,2,bare
121,6/15/2017 5:00,67.413,99.378,CBE,2,bare
122,6/15/2017 5:30,66.985,99.778,CBE,2,bare
123,6/15/2017 6:00,65.745,99.898,CBE,2,bare
124,6/15/2017 6:30,67.158,99.546,CBE,2,bare
125,6/15/2017 7:00,67.543,99.138,CBE,2,bare
126,6/15/2017 7:30,68.742,98.122,CBE,2,bare
127,6/15/2017 8:00,71.017,96.513,CBE,2,bare
128,6/15/2017 8:30,74.12,89.236,CBE,2,bare
129,6/15/2017 9:00,77.378,78.941,CBE,2,bare
130,6/15/2017 9:30,78.822,77.804,CBE,2,bare
131,6/15/2017 10:00,79.963,73.563,CBE,2,bare
132,6/15/2017 10:30,81.023,72.43,CBE,2,bare
133,6/15/2017 11:00,80.978,67.716,CBE,2,bare
134,6/15/2017 11:30,84.542,64.116,CBE,2,bare
135,6/15/2017 12:00,81.154,66.581,CBE,2,bare
136,6/15/2017 12:30,86.211,58.186,CBE,2,bare
137,6/15/2017 13:00,88.763,52.332,CBE,2,bare
138,6/15/2017 13:30,91.029,50.979,CBE,2,bare
139,6/15/2017 14:00,88.718,54.321,CBE,2,bare
140,6/15/2017 14:30,91.449,50.847,CBE,2,bare
141,6/15/2017 15:00,90.1,49.383,CBE,2,bare
142,6/15/2017 15:30,92.244,47.272,CBE,2,bare
143,6/15/2017 16:00,90.239,49.328,CBE,2,bare
144,6/15/2017 16:30,86.164,53.899,CBE,2,bare
145,6/15/2017 17:00,88.488,52.537,CBE,2,bare
146,6/15/2017 17:30,87.985,54.264,CBE,2,bare
147,6/15/2017 18:00,85.712,54.31,CBE,2,bare
148,6/15/2017 18:30,86.437,56.085,CBE,2,bare
149,6/15/2017 19:00,87.3,54.339,CBE,2,bare
150,6/15/2017 19:30,93.754,51.113,CBE,2,bare
151,6/15/2017 20:00,92.997,47.949,CBE,2,bare
152,6/15/2017 20:30,88.167,52.062,CBE,2,bare
153,6/15/2017 21:00,78.427,64.802,CBE,2,bare
154,6/15/2017 21:30,73.04,78.211,CBE,2,bare
155,6/15/2017 22:00,69.985,86.026,CBE,2,bare
156,6/15/2017 22:30,67.885,91.061,CBE,2,bare
157,6/15/2017 23:00,66.6,93.923,CBE,2,bare
158,6/15/2017 23:30,65.53,93.824,CBE,2,bare
159,6/16/2017 0:00,64.845,96.739,CBE,2,bare
