number,date_time,temp,RH,site,block,treatment,
1,6/12/2017 8:00,70.286,32.29,CBE,1,prairie,
2,6/12/2017 8:30,71.834,35.65,CBE,1,prairie,
3,6/12/2017 9:00,71.146,37.028,CBE,1,prairie,
4,6/12/2017 9:30,72.869,41.7,CBE,1,prairie,
5,6/12/2017 10:00,76.246,45.446,CBE,1,prairie,
6,6/12/2017 10:30,79.788,49.23,CBE,1,prairie,
7,6/12/2017 11:00,87.802,52.903,CBE,1,prairie,
8,6/12/2017 11:30,92.338,47.87,CBE,1,prairie,
9,6/12/2017 12:00,97.354,43.117,CBE,1,prairie,
10,6/12/2017 12:30,92.244,47.305,CBE,1,prairie,
11,6/12/2017 13:00,100.657,37.475,CBE,1,prairie,
12,6/12/2017 13:30,94.8,44.228,CBE,1,prairie,
13,6/12/2017 14:00,93.992,45.505,CBE,1,prairie,
14,6/12/2017 14:30,99.167,41.035,CBE,1,prairie,
15,6/12/2017 15:00,100.009,40.066,CBE,1,prairie,
16,6/12/2017 15:30,99.217,40.564,CBE,1,prairie,
17,6/12/2017 16:00,98.283,40.543,CBE,1,prairie,
18,6/12/2017 16:30,99.167,39.576,CBE,1,prairie,
19,6/12/2017 17:00,98.577,40.425,CBE,1,prairie,
20,6/12/2017 17:30,98.038,39.07,CBE,1,prairie,
21,6/12/2017 18:00,98.724,40.636,CBE,1,prairie,
22,6/12/2017 18:30,98.283,39.662,CBE,1,prairie,
23,6/12/2017 19:00,96.53,41.991,CBE,1,prairie,
24,6/12/2017 19:30,93.375,40.996,CBE,1,prairie,
25,6/12/2017 20:00,83.824,53.367,CBE,1,prairie,
26,6/12/2017 20:30,78.645,72.861,CBE,1,prairie,
27,6/12/2017 21:00,72.136,85.163,CBE,1,prairie,
28,6/12/2017 21:30,68.871,90.818,CBE,1,prairie,
29,6/12/2017 22:00,67.543,93.393,CBE,1,prairie,
30,6/12/2017 22:30,67.329,94.687,CBE,1,prairie,
31,6/12/2017 23:00,66.6,95.295,CBE,1,prairie,
32,6/12/2017 23:30,67.242,96.856,CBE,1,prairie,
33,6/13/2017 0:00,67.456,96.312,CBE,1,prairie,
34,6/13/2017 0:30,69.343,94.948,CBE,1,prairie,
35,6/13/2017 1:00,71.103,86.031,CBE,1,prairie,
36,6/13/2017 1:30,67.798,91.8,CBE,1,prairie,
37,6/13/2017 2:00,66.857,94.699,CBE,1,prairie,
38,6/13/2017 2:30,66.301,95.488,CBE,1,prairie,
39,6/13/2017 3:00,65.788,95.545,CBE,1,prairie,
40,6/13/2017 3:30,65.102,96.621,CBE,1,prairie,
41,6/13/2017 4:00,64.803,97.123,CBE,1,prairie,
42,6/13/2017 4:30,65.701,97.308,CBE,1,prairie,
43,6/13/2017 5:00,65.444,97.062,CBE,1,prairie,
44,6/13/2017 5:30,66.344,97.09,CBE,1,prairie,
