number,date_time,temp,RH,site,treatment
79,8/9/2017 0:00,55.038,94.889,1,grass margin
80,8/9/2017 0:30,54.037,95.484,1,grass margin
81,8/9/2017 1:00,53.166,96.219,1,grass margin
82,8/9/2017 1:30,52.378,96.506,1,grass margin
83,8/9/2017 2:00,51.413,96.563,1,grass margin
84,8/9/2017 2:30,50.576,96.789,1,grass margin
85,8/9/2017 3:00,50.4,96.687,1,grass margin
86,8/9/2017 3:30,49.561,96.987,1,grass margin
87,8/9/2017 4:00,49.561,97.486,1,grass margin
88,8/9/2017 4:30,49.204,97.831,1,grass margin
89,8/9/2017 5:00,49.116,97.743,1,grass margin
90,8/9/2017 5:30,49.383,98.157,1,grass margin
91,8/9/2017 6:00,49.204,98.229,1,grass margin
92,8/9/2017 6:30,48.983,97.946,1,grass margin
93,8/9/2017 7:00,51.678,97.156,1,grass margin
94,8/9/2017 7:30,62.406,87.038,1,grass margin
95,8/9/2017 8:00,73.256,66.87,1,grass margin
96,8/9/2017 8:30,77.945,65.152,1,grass margin
97,8/9/2017 9:00,75.029,67.373,1,grass margin
98,8/9/2017 9:30,74.25,67.685,1,grass margin
99,8/9/2017 10:00,76.332,61.925,1,grass margin
100,8/9/2017 10:30,80.404,58.543,1,grass margin
101,8/9/2017 11:00,81.421,54.26,1,grass margin
102,8/9/2017 11:30,84.094,52.238,1,grass margin
103,8/9/2017 12:00,86.346,50.282,1,grass margin
104,8/9/2017 12:30,84.812,45.92,1,grass margin
105,8/9/2017 13:00,81.376,42.129,1,grass margin
106,8/9/2017 13:30,90.147,37.446,1,grass margin
107,8/9/2017 14:00,88.81,34.26,1,grass margin
108,8/9/2017 14:30,91.917,33.94,1,grass margin
109,8/9/2017 15:00,89.776,36.514,1,grass margin
110,8/9/2017 15:30,86.936,38.745,1,grass margin
111,8/9/2017 16:00,85.849,39.417,1,grass margin
112,8/9/2017 16:30,87.665,36.434,1,grass margin
113,8/9/2017 17:00,90.565,32.78,1,grass margin
114,8/9/2017 17:30,86.437,35.762,1,grass margin
115,8/9/2017 18:00,87.073,35.525,1,grass margin
116,8/9/2017 18:30,83.824,40.297,1,grass margin
117,8/9/2017 19:00,82.175,44.08,1,grass margin
118,8/9/2017 19:30,79.304,45.196,1,grass margin
119,8/9/2017 20:00,76.419,53.899,1,grass margin
120,8/9/2017 20:30,72.869,63.766,1,grass margin
121,8/9/2017 21:00,66.686,80.751,1,grass margin
122,8/9/2017 21:30,63.433,88.577,1,grass margin
123,8/9/2017 22:00,61.977,92.268,1,grass margin
124,8/9/2017 22:30,59.572,93.423,1,grass margin
125,8/9/2017 23:00,59.185,94.953,1,grass margin
126,8/9/2017 23:30,57.463,95.269,1,grass margin
127,8/10/2017 0:00,56.208,95.599,1,grass margin
128,8/10/2017 0:30,55.429,96.454,1,grass margin
129,8/10/2017 1:00,54.343,95.962,1,grass margin
130,8/10/2017 1:30,53.865,96.829,1,grass margin
131,8/10/2017 2:00,53.515,97.08,1,grass margin
132,8/10/2017 2:30,52.686,97.258,1,grass margin
133,8/10/2017 3:00,52.772,97.221,1,grass margin
