number,date_time,temp,RH,site,treatment
2773,8/9/2017 0:00,57.765,95.442,LUX,full sun corn
2774,8/9/2017 0:30,57.16,95.739,LUX,full sun corn
2775,8/9/2017 1:00,56.165,96.359,LUX,full sun corn
2776,8/9/2017 1:30,56.469,96.66,LUX,full sun corn
2777,8/9/2017 2:00,55.69,96.493,LUX,full sun corn
2778,8/9/2017 2:30,54.909,96.859,LUX,full sun corn
2779,8/9/2017 3:00,55.602,97.344,LUX,full sun corn
2780,8/9/2017 3:30,54.995,97.278,LUX,full sun corn
2781,8/9/2017 4:00,55.733,97.617,LUX,full sun corn
2782,8/9/2017 4:30,56.251,96.729,LUX,full sun corn
2783,8/9/2017 5:00,55.906,96.779,LUX,full sun corn
2784,8/9/2017 5:30,56.122,96.939,LUX,full sun corn
2785,8/9/2017 6:00,55.69,96.442,LUX,full sun corn
2786,8/9/2017 6:30,55.081,97.063,LUX,full sun corn
2787,8/9/2017 7:00,55.213,97.639,LUX,full sun corn
2788,8/9/2017 7:30,57.117,97.419,LUX,full sun corn
2789,8/9/2017 8:00,68.013,88.401,LUX,full sun corn
2790,8/9/2017 8:30,78.777,78.553,LUX,full sun corn
2791,8/9/2017 9:00,75.42,72.961,LUX,full sun corn
2792,8/9/2017 9:30,74.813,72.632,LUX,full sun corn
2793,8/9/2017 10:00,78.208,63.685,LUX,full sun corn
2794,8/9/2017 10:30,81.023,55.429,LUX,full sun corn
2795,8/9/2017 11:00,85.035,48.473,LUX,full sun corn
2796,8/9/2017 11:30,87.62,42.713,LUX,full sun corn
2797,8/9/2017 12:00,84.812,45.462,LUX,full sun corn
2798,8/9/2017 12:30,91.17,35.945,LUX,full sun corn
2799,8/9/2017 13:00,94.514,31.939,LUX,full sun corn
2800,8/9/2017 13:30,90.147,35.416,LUX,full sun corn
2801,8/9/2017 14:00,94.753,31.433,LUX,full sun corn
2802,8/9/2017 14:30,91.542,34.604,LUX,full sun corn
2803,8/9/2017 15:00,90.147,34.736,LUX,full sun corn
2804,8/9/2017 15:30,92.856,31.413,LUX,full sun corn
2805,8/9/2017 16:00,92.997,33.447,LUX,full sun corn
2806,8/9/2017 16:30,89.638,36.743,LUX,full sun corn
2807,8/9/2017 17:00,90.891,35.455,LUX,full sun corn
2808,8/9/2017 17:30,83.869,42.546,LUX,full sun corn
2809,8/9/2017 18:00,80.272,46.622,LUX,full sun corn
2810,8/9/2017 18:30,79.876,50.101,LUX,full sun corn
2811,8/9/2017 19:00,77.859,53.665,LUX,full sun corn
2812,8/9/2017 19:30,76.593,57.941,LUX,full sun corn
2813,8/9/2017 20:00,78.953,56.267,LUX,full sun corn
2814,8/9/2017 20:30,74.856,62.889,LUX,full sun corn
2815,8/9/2017 21:00,67.285,79.022,LUX,full sun corn
2816,8/9/2017 21:30,64.074,86.85,LUX,full sun corn
2817,8/9/2017 22:00,62.533,90.809,LUX,full sun corn
