number,date_time,temp,RH,site,block,treatment
1,6/12/2017 8:00,67.885,40.875,CBE,1,soy
2,6/12/2017 8:30,70.286,41.508,CBE,1,soy
3,6/12/2017 9:00,68.999,41.622,CBE,1,soy
4,6/12/2017 9:30,71.317,44.025,CBE,1,soy
5,6/12/2017 10:00,81.244,50.841,CBE,1,soy
6,6/12/2017 10:30,88.351,50.428,CBE,1,soy
7,6/12/2017 11:00,85.352,52.973,CBE,1,soy
8,6/12/2017 11:30,88.993,47.837,CBE,1,soy
9,6/12/2017 12:00,92.48,45.34,CBE,1,soy
10,6/12/2017 12:30,88.351,49.064,CBE,1,soy
11,6/12/2017 13:00,93.801,43.231,CBE,1,soy
12,6/12/2017 13:30,93.659,43.222,CBE,1,soy
13,6/12/2017 14:00,90.009,46.661,CBE,1,soy
14,6/12/2017 14:30,94.086,41.642,CBE,1,soy
15,6/12/2017 15:00,93.848,41.158,CBE,1,soy
16,6/12/2017 15:30,93.659,41.918,CBE,1,soy
17,6/12/2017 16:00,93.423,40.864,CBE,1,soy
18,6/12/2017 16:30,93.328,40.59,CBE,1,soy
19,6/12/2017 17:00,92.95,39.761,CBE,1,soy
20,6/12/2017 17:30,93.092,40.677,CBE,1,soy
21,6/12/2017 18:00,93.328,40.993,CBE,1,soy
22,6/12/2017 18:30,92.856,39.486,CBE,1,soy
23,6/12/2017 19:00,91.823,41.673,CBE,1,soy
24,6/12/2017 19:30,91.263,40.267,CBE,1,soy
25,6/12/2017 20:00,89.177,42.312,CBE,1,soy
26,6/12/2017 20:30,86.617,48.357,CBE,1,soy
27,6/12/2017 21:00,76.768,71.244,CBE,1,soy
28,6/12/2017 21:30,73.17,79.912,CBE,1,soy
29,6/12/2017 22:00,71.361,84.899,CBE,1,soy
30,6/12/2017 22:30,71.06,85.499,CBE,1,soy
31,6/12/2017 23:00,70.286,88.072,CBE,1,soy
32,6/12/2017 23:30,70.63,90.787,CBE,1,soy
33,6/13/2017 0:00,70.887,87.74,CBE,1,soy
34,6/13/2017 0:30,74.163,78.742,CBE,1,soy
35,6/13/2017 1:00,74.597,73.078,CBE,1,soy
36,6/13/2017 1:30,72.178,78.112,CBE,1,soy
37,6/13/2017 2:00,69.427,85.209,CBE,1,soy
38,6/13/2017 2:30,69.3,85.414,CBE,1,soy
39,6/13/2017 3:00,68.828,86.236,CBE,1,soy
40,6/13/2017 3:30,68.698,86.742,CBE,1,soy
41,6/13/2017 4:00,68.956,86.143,CBE,1,soy
42,6/13/2017 4:30,69.17,85.398,CBE,1,soy
43,6/13/2017 5:00,68.4,86.675,CBE,1,soy
44,6/13/2017 5:30,69.386,86.308,CBE,1,soy
45,6/13/2017 6:00,71.274,81.5,CBE,1,soy
46,6/13/2017 6:30,70.887,83.11,CBE,1,soy
47,6/13/2017 7:00,72.178,80.448,CBE,1,soy
48,6/13/2017 7:30,74.511,76.187,CBE,1,soy
49,6/13/2017 8:00,76.332,72.616,CBE,1,soy
50,6/13/2017 8:30,80.008,67.651,CBE,1,soy
51,6/13/2017 9:00,81.066,66.025,CBE,1,soy
52,6/13/2017 9:30,82.486,61.396,CBE,1,soy
53,6/13/2017 10:00,84.99,57.517,CBE,1,soy
54,6/13/2017 10:30,86.981,56.288,CBE,1,soy
55,6/13/2017 11:00,86.437,55.195,CBE,1,soy
56,6/13/2017 11:30,88.81,53.494,CBE,1,soy
57,6/13/2017 12:00,89.776,50.726,CBE,1,soy
58,6/13/2017 12:30,91.729,48.452,CBE,1,soy
59,6/13/2017 13:00,91.963,45.439,CBE,1,soy
60,6/13/2017 13:30,94.323,42.226,CBE,1,soy
61,6/13/2017 14:00,97.354,40.354,CBE,1,soy
62,6/13/2017 14:30,95.423,40.848,CBE,1,soy
63,6/13/2017 15:00,94.849,41.184,CBE,1,soy
64,6/13/2017 15:30,93.612,44.784,CBE,1,soy
65,6/13/2017 16:00,98.479,39.944,CBE,1,soy
66,6/13/2017 16:30,95.616,45.046,CBE,1,soy
67,6/13/2017 17:00,90.844,48.717,CBE,1,soy
68,6/13/2017 17:30,83.736,55.33,CBE,1,soy
69,6/13/2017 18:00,81.421,75.52,CBE,1,soy
70,6/13/2017 18:30,84.812,69.517,CBE,1,soy
71,6/13/2017 19:00,81.952,71.572,CBE,1,soy
72,6/13/2017 19:30,84.137,68.116,CBE,1,soy
73,6/13/2017 20:00,82.753,69.372,CBE,1,soy
74,6/13/2017 20:30,79.216,77.267,CBE,1,soy
75,6/13/2017 21:00,77.684,80.844,CBE,1,soy
76,6/13/2017 21:30,76.114,81.657,CBE,1,soy
77,6/13/2017 22:00,75.247,84.294,CBE,1,soy
