number,date_time,temp,RH,site,block,treatment,,
1,6/12/2017 8:00,70.029,32.975,CBE,3,soy,,
2,6/12/2017 8:30,71.62,36.1,CBE,3,soy,,
3,6/12/2017 9:00,71.19,38.635,CBE,3,soy,,
4,6/12/2017 9:30,72.869,43.804,CBE,3,soy,,
5,6/12/2017 10:00,77.203,46.832,CBE,3,soy,,
6,6/12/2017 10:30,82.042,47.973,CBE,3,soy,,
7,6/12/2017 11:00,85.035,49.897,CBE,3,soy,,
8,6/12/2017 11:30,99.662,45.34,CBE,3,soy,,
9,6/12/2017 12:00,97.599,38.332,CBE,3,soy,,
10,6/12/2017 12:30,97.842,37.049,CBE,3,soy,,
11,6/12/2017 13:00,103.181,40.01,CBE,3,soy,,
12,6/12/2017 13:30,94.086,34.528,CBE,3,soy,,
13,6/12/2017 14:00,91.029,37.933,CBE,3,soy,,
14,6/12/2017 14:30,90.703,40.637,CBE,3,soy,,
15,6/12/2017 15:00,90.982,42.689,CBE,3,soy,,
16,6/12/2017 15:30,91.17,43.798,CBE,3,soy,,
17,6/12/2017 16:00,85.172,39.112,CBE,3,soy,,
18,6/12/2017 16:30,83.242,39.134,CBE,3,soy,,
19,6/12/2017 17:00,82.665,43.555,CBE,3,soy,,
20,6/12/2017 17:30,83.467,41.664,CBE,3,soy,,
21,6/12/2017 18:00,89.177,46.933,CBE,3,soy,,
22,6/12/2017 18:30,94.753,46.682,CBE,3,soy,,
23,6/12/2017 19:00,98.233,45.248,CBE,3,soy,,
24,6/12/2017 19:30,99.811,43.47,CBE,3,soy,,
25,6/12/2017 20:00,99.86,42.597,CBE,3,soy,,
26,6/12/2017 20:30,99.365,41.825,CBE,3,soy,,
27,6/12/2017 21:00,97.891,40.554,CBE,3,soy,,
28,6/12/2017 21:30,96.24,39.951,CBE,3,soy,,
29,6/12/2017 22:00,94.753,39.797,CBE,3,soy,,
30,6/12/2017 22:30,93.328,39.783,CBE,3,soy,,
31,6/12/2017 23:00,91.917,39.903,CBE,3,soy,,
32,6/12/2017 23:30,90.518,40.09,CBE,3,soy,,
