number,date_time,temp,RH,site,block,treatment,,
1,6/19/2017 8:00,70.115,60.697,CBE,3,bare,,
2,6/19/2017 8:30,70.072,60.662,CBE,3,bare,,
3,6/19/2017 9:00,70.072,60.662,CBE,3,bare,,
4,6/19/2017 9:30,71.834,66.791,CBE,3,bare,,
5,6/19/2017 10:00,79.435,61.989,CBE,3,bare,,
6,6/19/2017 10:30,80.361,60.125,CBE,3,bare,,
7,6/19/2017 11:00,81.154,58.607,CBE,3,bare,,
8,6/19/2017 11:30,80.845,57.769,CBE,3,bare,,
9,6/19/2017 12:00,74.727,55.797,CBE,3,bare,,
10,6/19/2017 12:30,79.128,54.364,CBE,3,bare,,
11,6/19/2017 13:00,73.429,55.598,CBE,3,bare,,
12,6/19/2017 13:30,69.771,71.425,CBE,3,bare,,
13,6/19/2017 14:00,77.553,51.491,CBE,3,bare,,
14,6/19/2017 14:30,75.898,53.763,CBE,3,bare,,
15,6/19/2017 15:00,77.117,49.166,CBE,3,bare,,
16,6/19/2017 15:30,76.419,51.912,CBE,3,bare,,
17,6/19/2017 16:00,77.727,50.741,CBE,3,bare,,
18,6/19/2017 16:30,77.072,47.883,CBE,3,bare,,
19,6/19/2017 17:00,77.335,48.67,CBE,3,bare,,
20,6/19/2017 17:30,77.77,47.611,CBE,3,bare,,
21,6/19/2017 18:00,74.683,50.643,CBE,3,bare,,
22,6/19/2017 18:30,71.06,56.365,CBE,3,bare,,
23,6/19/2017 19:00,63.604,75.51,CBE,3,bare,,
24,6/19/2017 19:30,62.105,89.096,CBE,3,bare,,
25,6/19/2017 20:00,63.862,80.272,CBE,3,bare,,
26,6/19/2017 20:30,65.574,74.388,CBE,3,bare,,
27,6/19/2017 21:00,61.462,76.767,CBE,3,bare,,
28,6/19/2017 21:30,60.733,75.809,CBE,3,bare,,
29,6/19/2017 22:00,60.39,77.765,CBE,3,bare,,
30,6/19/2017 22:30,60.39,77.261,CBE,3,bare,,
31,6/19/2017 23:00,60.174,79.247,CBE,3,bare,,
32,6/19/2017 23:30,59.315,82.152,CBE,3,bare,,
33,6/20/2017 0:00,58.541,85.805,CBE,3,bare,,
34,6/20/2017 0:30,58.152,87.872,CBE,3,bare,,
35,6/20/2017 1:00,57.679,89.719,CBE,3,bare,,
36,6/20/2017 1:30,57.979,88.913,CBE,3,bare,,
37,6/20/2017 2:00,57.549,89.437,CBE,3,bare,,
38,6/20/2017 2:30,57.636,89.898,CBE,3,bare,,
39,6/20/2017 3:00,57.85,90.64,CBE,3,bare,,
40,6/20/2017 3:30,57.592,92.438,CBE,3,bare,,
41,6/20/2017 4:00,57.722,92.873,CBE,3,bare,,
42,6/20/2017 4:30,57.636,94.004,CBE,3,bare,,
43,6/20/2017 5:00,57.807,94.701,CBE,3,bare,,
44,6/20/2017 5:30,57.893,95.281,CBE,3,bare,,
45,6/20/2017 6:00,57.204,95.437,CBE,3,bare,,
46,6/20/2017 6:30,57.85,93.62,CBE,3,bare,,
47,6/20/2017 7:00,59.83,90.464,CBE,3,bare,,
48,6/20/2017 7:30,61.633,87.476,CBE,3,bare,,
49,6/20/2017 8:00,63.347,82.265,CBE,3,bare,,
50,6/20/2017 8:30,65.23,77.369,CBE,3,bare,,
51,6/20/2017 9:00,67.071,70.908,CBE,3,bare,,
52,6/20/2017 9:30,69.343,62.444,CBE,3,bare,,
53,6/20/2017 10:00,71.62,58.138,CBE,3,bare,,
54,6/20/2017 10:30,72.437,54.833,CBE,3,bare,,
55,6/20/2017 11:00,71.533,55.94,CBE,3,bare,,
56,6/20/2017 11:30,75.898,51.809,CBE,3,bare,,
57,6/20/2017 12:00,74.597,49.875,CBE,3,bare,,
58,6/20/2017 12:30,77.16,48.21,CBE,3,bare,,
59,6/20/2017 13:00,76.986,46.881,CBE,3,bare,,
60,6/20/2017 13:30,75.594,42.032,CBE,3,bare,,
61,6/20/2017 14:00,78.208,42.619,CBE,3,bare,,
62,6/20/2017 14:30,76.375,43.382,CBE,3,bare,,
63,6/20/2017 15:00,76.899,42.7,CBE,3,bare,,
64,6/20/2017 15:30,72.178,47.221,CBE,3,bare,,
65,6/20/2017 16:00,65.444,66.402,CBE,3,bare,,
66,6/20/2017 16:30,61.032,74.91,CBE,3,bare,,
67,6/20/2017 17:00,57.936,88.854,CBE,3,bare,,
68,6/20/2017 17:30,58.842,88.444,CBE,3,bare,,
69,6/20/2017 18:00,58.541,90.893,CBE,3,bare,,
70,6/20/2017 18:30,59.272,90.678,CBE,3,bare,,
71,6/20/2017 19:00,60.561,88.568,CBE,3,bare,,
72,6/20/2017 19:30,66.9,73.556,CBE,3,bare,,
73,6/20/2017 20:00,66.13,73.616,CBE,3,bare,,
