number,date_time,temp,RH,site,block,treatment
1,6/19/2017 8:00,70.416,60.541,CBE,4,bare
2,6/19/2017 8:30,70.329,60.594,CBE,4,bare
3,6/19/2017 9:00,70.329,60.624,CBE,4,bare
4,6/19/2017 9:30,73.818,65.213,CBE,4,bare
5,6/19/2017 10:00,79.567,58.753,CBE,4,bare
6,6/19/2017 10:30,80.272,56.343,CBE,4,bare
7,6/19/2017 11:00,81.023,54.26,CBE,4,bare
8,6/19/2017 11:30,81.333,55.012,CBE,4,bare
9,6/19/2017 12:00,76.071,55.969,CBE,4,bare
10,6/19/2017 12:30,79.7,50.983,CBE,4,bare
11,6/19/2017 13:00,73.731,56.617,CBE,4,bare
12,6/19/2017 13:30,70.372,66.051,CBE,4,bare
13,6/19/2017 14:00,78.165,49.465,CBE,4,bare
14,6/19/2017 14:30,76.289,54.203,CBE,4,bare
15,6/19/2017 15:00,77.421,49.124,CBE,4,bare
16,6/19/2017 15:30,75.853,52.059,CBE,4,bare
17,6/19/2017 16:00,77.247,50.865,CBE,4,bare
18,6/19/2017 16:30,77.509,48.298,CBE,4,bare
19,6/19/2017 17:00,77.553,49.166,CBE,4,bare
20,6/19/2017 17:30,79.304,49.708,CBE,4,bare
21,6/19/2017 18:00,74.77,50.649,CBE,4,bare
22,6/19/2017 18:30,71.06,56.457,CBE,4,bare
23,6/19/2017 19:00,64.161,64.145,CBE,4,bare
24,6/19/2017 19:30,64.117,78.959,CBE,4,bare
25,6/19/2017 20:00,65.188,73.829,CBE,4,bare
26,6/19/2017 20:30,67.372,60.634,CBE,4,bare
27,6/19/2017 21:00,61.547,72.344,CBE,4,bare
28,6/19/2017 21:30,60.948,73.877,CBE,4,bare
29,6/19/2017 22:00,60.604,74.067,CBE,4,bare
30,6/19/2017 22:30,60.517,75.05,CBE,4,bare
31,6/19/2017 23:00,60.39,78.101,CBE,4,bare
32,6/19/2017 23:30,59.358,81.883,CBE,4,bare
33,6/20/2017 0:00,58.669,85.093,CBE,4,bare
34,6/20/2017 0:30,58.195,87.797,CBE,4,bare
35,6/20/2017 1:00,57.636,89.713,CBE,4,bare
36,6/20/2017 1:30,57.936,88.748,CBE,4,bare
37,6/20/2017 2:00,57.679,89.031,CBE,4,bare
38,6/20/2017 2:30,57.549,89.701,CBE,4,bare
39,6/20/2017 3:00,57.893,90.039,CBE,4,bare
40,6/20/2017 3:30,57.722,91.881,CBE,4,bare
41,6/20/2017 4:00,57.807,92.912,CBE,4,bare
42,6/20/2017 4:30,57.85,93.542,CBE,4,bare
43,6/20/2017 5:00,58.023,94.448,CBE,4,bare
44,6/20/2017 5:30,57.679,95.301,CBE,4,bare
45,6/20/2017 6:00,57.204,95.489,CBE,4,bare
46,6/20/2017 6:30,58.885,92.83,CBE,4,bare
47,6/20/2017 7:00,60.775,89.104,CBE,4,bare
48,6/20/2017 7:30,62.577,84.805,CBE,4,bare
49,6/20/2017 8:00,64.375,79.998,CBE,4,bare
50,6/20/2017 8:30,66.258,74.751,CBE,4,bare
51,6/20/2017 9:00,68.099,66.9,CBE,4,bare
52,6/20/2017 9:30,70.974,60.895,CBE,4,bare
53,6/20/2017 10:00,72.221,55.189,CBE,4,bare
54,6/20/2017 10:30,73.213,55.301,CBE,4,bare
55,6/20/2017 11:00,72.567,54.937,CBE,4,bare
56,6/20/2017 11:30,77.684,47.99,CBE,4,bare
57,6/20/2017 12:00,73.947,51.346,CBE,4,bare
58,6/20/2017 12:30,77.464,46.431,CBE,4,bare
59,6/20/2017 13:00,77.509,45.239,CBE,4,bare
60,6/20/2017 13:30,76.464,41.988,CBE,4,bare
61,6/20/2017 14:00,77.77,44.317,CBE,4,bare
62,6/20/2017 14:30,76.332,43.607,CBE,4,bare
63,6/20/2017 15:00,77.684,42.031,CBE,4,bare
64,6/20/2017 15:30,72.178,48.558,CBE,4,bare
65,6/20/2017 16:00,65.487,66.17,CBE,4,bare
66,6/20/2017 16:30,61.29,74.91,CBE,4,bare
67,6/20/2017 17:00,57.85,88.842,CBE,4,bare
68,6/20/2017 17:30,58.541,87.282,CBE,4,bare
69,6/20/2017 18:00,58.498,90.254,CBE,4,bare
70,6/20/2017 18:30,59.616,89.533,CBE,4,bare
71,6/20/2017 19:00,61.677,89.573,CBE,4,bare
72,6/20/2017 19:30,68.4,73.893,CBE,4,bare
73,6/20/2017 20:00,68.313,64.749,CBE,4,bare
74,6/20/2017 20:30,61.848,82.025,CBE,4,bare
75,6/20/2017 21:00,61.162,82.298,CBE,4,bare
76,6/20/2017 21:30,60.433,84.178,CBE,4,bare
77,6/20/2017 22:00,58.626,87.881,CBE,4,bare
78,6/20/2017 22:30,57.42,93.298,CBE,4,bare
79,6/20/2017 23:00,56.858,94.46,CBE,4,bare
80,6/20/2017 23:30,55.776,95.842,CBE,4,bare
81,6/21/2017 0:00,54.169,96.698,CBE,4,bare
82,6/21/2017 0:30,53.341,97.029,CBE,4,bare
83,6/21/2017 1:00,52.246,97.142,CBE,4,bare
84,6/21/2017 1:30,51.325,97.354,CBE,4,bare
85,6/21/2017 2:00,53.166,98.236,CBE,4,bare
86,6/21/2017 2:30,52.378,98.316,CBE,4,bare
87,6/21/2017 3:00,51.544,98.488,CBE,4,bare
88,6/21/2017 3:30,50.047,97.984,CBE,4,bare
89,6/21/2017 4:00,49.516,98.326,CBE,4,bare
