number,date_time,temp,RH,site,block,treatment,
1,6/19/2017 8:00,70.286,60.833,CBE,4,soy,
2,6/19/2017 8:30,70.243,60.86,CBE,4,soy,
3,6/19/2017 9:00,70.201,60.765,CBE,4,soy,
4,6/19/2017 9:30,73.256,67.587,CBE,4,soy,
5,6/19/2017 10:00,82.708,53.79,CBE,4,soy,
6,6/19/2017 10:30,82.353,53.508,CBE,4,soy,
7,6/19/2017 11:00,81.509,51.915,CBE,4,soy,
8,6/19/2017 11:30,88.534,48.458,CBE,4,soy,
9,6/19/2017 12:00,76.419,54.778,CBE,4,soy,
10,6/19/2017 12:30,79.788,49.326,CBE,4,soy,
11,6/19/2017 13:00,74.12,56.09,CBE,4,soy,
12,6/19/2017 13:30,70.372,65.962,CBE,4,soy,
13,6/19/2017 14:00,77.684,49.111,CBE,4,soy,
14,6/19/2017 14:30,75.637,52.2,CBE,4,soy,
15,6/19/2017 15:00,77.421,48.068,CBE,4,soy,
16,6/19/2017 15:30,75.637,51.252,CBE,4,soy,
17,6/19/2017 16:00,76.899,48.703,CBE,4,soy,
18,6/19/2017 16:30,77.727,47.029,CBE,4,soy,
19,6/19/2017 17:00,77.553,45.759,CBE,4,soy,
20,6/19/2017 17:30,79.347,47.72,CBE,4,soy,
21,6/19/2017 18:00,75.42,49.617,CBE,4,soy,
22,6/19/2017 18:30,71.103,55.904,CBE,4,soy,
23,6/19/2017 19:00,64.247,65.635,CBE,4,soy,
24,6/19/2017 19:30,63.09,74,CBE,4,soy,
25,6/19/2017 20:00,63.99,72.492,CBE,4,soy,
26,6/19/2017 20:30,65.23,66.912,CBE,4,soy,
27,6/19/2017 21:00,61.633,72.353,CBE,4,soy,
28,6/19/2017 21:30,60.818,74.375,CBE,4,soy,
29,6/19/2017 22:00,60.604,74.323,CBE,4,soy,
30,6/19/2017 22:30,60.517,75.305,CBE,4,soy,
31,6/19/2017 23:00,60.346,78.096,CBE,4,soy,
32,6/19/2017 23:30,59.272,82.009,CBE,4,soy,
33,6/20/2017 0:00,58.626,85.168,CBE,4,soy,
34,6/20/2017 0:30,58.023,87.961,CBE,4,soy,
35,6/20/2017 1:00,57.592,89.76,CBE,4,soy,
36,6/20/2017 1:30,57.893,88.901,CBE,4,soy,
37,6/20/2017 2:00,57.42,89.419,CBE,4,soy,
38,6/20/2017 2:30,57.29,90.246,CBE,4,soy,
39,6/20/2017 3:00,57.807,90.37,CBE,4,soy,
40,6/20/2017 3:30,57.463,92.341,CBE,4,soy,
41,6/20/2017 4:00,57.592,93.349,CBE,4,soy,
42,6/20/2017 4:30,57.679,93.803,CBE,4,soy,
43,6/20/2017 5:00,57.936,94.668,CBE,4,soy,
44,6/20/2017 5:30,57.506,95.533,CBE,4,soy,
45,6/20/2017 6:00,57.074,95.778,CBE,4,soy,
46,6/20/2017 6:30,61.462,88.045,CBE,4,soy,
47,6/20/2017 7:00,65.574,81.594,CBE,4,soy,
48,6/20/2017 7:30,66.943,80.501,CBE,4,soy,
49,6/20/2017 8:00,67.114,77.842,CBE,4,soy,
50,6/20/2017 8:30,67.413,74.39,CBE,4,soy,
51,6/20/2017 9:00,68.27,68.276,CBE,4,soy,
52,6/20/2017 9:30,70.846,62.128,CBE,4,soy,
53,6/20/2017 10:00,71.62,56.504,CBE,4,soy,
54,6/20/2017 10:30,72.653,56.744,CBE,4,soy,
55,6/20/2017 11:00,72.955,54.968,CBE,4,soy,
56,6/20/2017 11:30,76.942,48.802,CBE,4,soy,
57,6/20/2017 12:00,73.688,51.579,CBE,4,soy,
58,6/20/2017 12:30,76.854,46.325,CBE,4,soy,
59,6/20/2017 13:00,76.854,44.775,CBE,4,soy,
60,6/20/2017 13:30,75.333,43.024,CBE,4,soy,
61,6/20/2017 14:00,77.203,42.556,CBE,4,soy,
62,6/20/2017 14:30,76.419,41.888,CBE,4,soy,
63,6/20/2017 15:00,76.899,41.623,CBE,4,soy,
64,6/20/2017 15:30,72.136,46.835,CBE,4,soy,
65,6/20/2017 16:00,65.359,66.009,CBE,4,soy,
66,6/20/2017 16:30,61.119,74.749,CBE,4,soy,
67,6/20/2017 17:00,57.679,87.675,CBE,4,soy,
68,6/20/2017 17:30,58.282,86.604,CBE,4,soy,
