number,date_time,temp,RH,site,block,treatment,
1,6/19/2017 8:00,70.286,60.803,CBE,4,corn,
2,6/19/2017 8:30,70.286,60.833,CBE,4,corn,
3,6/19/2017 9:00,70.286,60.651,CBE,4,corn,
4,6/19/2017 9:30,73.731,67.843,CBE,4,corn,
5,6/19/2017 10:00,82.931,55.582,CBE,4,corn,
6,6/19/2017 10:30,82.753,56.388,CBE,4,corn,
7,6/19/2017 11:00,81.687,52.63,CBE,4,corn,
8,6/19/2017 11:30,89.362,49.656,CBE,4,corn,
9,6/19/2017 12:00,76.246,56.918,CBE,4,corn,
10,6/19/2017 12:30,78.777,52.947,CBE,4,corn,
11,6/19/2017 13:00,73.774,57.333,CBE,4,corn,
12,6/19/2017 13:30,70.803,67.344,CBE,4,corn,
13,6/19/2017 14:00,78.296,51.419,CBE,4,corn,
14,6/19/2017 14:30,76.681,52.754,CBE,4,corn,
15,6/19/2017 15:00,77.815,48.897,CBE,4,corn,
16,6/19/2017 15:30,76.289,51.618,CBE,4,corn,
17,6/19/2017 16:00,77.815,49.408,CBE,4,corn,
18,6/19/2017 16:30,78.076,47.6,CBE,4,corn,
19,6/19/2017 17:00,78.69,47.739,CBE,4,corn,
20,6/19/2017 17:30,79.567,50.207,CBE,4,corn,
21,6/19/2017 18:00,75.29,51.479,CBE,4,corn,
22,6/19/2017 18:30,71.661,55.826,CBE,4,corn,
23,6/19/2017 19:00,64.074,65.766,CBE,4,corn,
24,6/19/2017 19:30,66.686,72.898,CBE,4,corn,
25,6/19/2017 20:00,67.928,68.772,CBE,4,corn,
26,6/19/2017 20:30,72.826,58.333,CBE,4,corn,
27,6/19/2017 21:00,61.804,71.625,CBE,4,corn,
28,6/19/2017 21:30,61.032,73.745,CBE,4,corn,
29,6/19/2017 22:00,60.775,74.143,CBE,4,corn,
30,6/19/2017 22:30,60.69,74.899,CBE,4,corn,
31,6/19/2017 23:00,60.474,78.335,CBE,4,corn,
32,6/19/2017 23:30,59.401,81.751,CBE,4,corn,
33,6/20/2017 0:00,58.755,84.996,CBE,4,corn,
34,6/20/2017 0:30,58.325,87.467,CBE,4,corn,
35,6/20/2017 1:00,57.722,89.857,CBE,4,corn,
36,6/20/2017 1:30,58.109,88.505,CBE,4,corn,
37,6/20/2017 2:00,57.679,88.925,CBE,4,corn,
38,6/20/2017 2:30,57.506,89.854,CBE,4,corn,
39,6/20/2017 3:00,58.023,90.057,CBE,4,corn,
40,6/20/2017 3:30,57.722,92.038,CBE,4,corn,
41,6/20/2017 4:00,57.765,92.827,CBE,4,corn,
42,6/20/2017 4:30,57.893,93.366,CBE,4,corn,
43,6/20/2017 5:00,58.066,94.377,CBE,4,corn,
44,6/20/2017 5:30,57.765,95.185,CBE,4,corn,
45,6/20/2017 6:00,57.247,95.495,CBE,4,corn,
46,6/20/2017 6:30,57.636,94.676,CBE,4,corn,
47,6/20/2017 7:00,59.916,91.558,CBE,4,corn,
48,6/20/2017 7:30,62.019,88.603,CBE,4,corn,
49,6/20/2017 8:00,63.946,83.47,CBE,4,corn,
50,6/20/2017 8:30,65.701,78.554,CBE,4,corn,
51,6/20/2017 9:00,67.114,72.191,CBE,4,corn,
52,6/20/2017 9:30,69.985,64.609,CBE,4,corn,
53,6/20/2017 10:00,70.887,59.301,CBE,4,corn,
54,6/20/2017 10:30,73.126,57.587,CBE,4,corn,
55,6/20/2017 11:00,72.264,56.836,CBE,4,corn,
56,6/20/2017 11:30,77.684,50.929,CBE,4,corn,
57,6/20/2017 12:00,73.818,53.569,CBE,4,corn,
58,6/20/2017 12:30,77.553,47.21,CBE,4,corn,
59,6/20/2017 13:00,77.247,45.803,CBE,4,corn,
60,6/20/2017 13:30,76.375,43.642,CBE,4,corn,
61,6/20/2017 14:00,78.033,42.543,CBE,4,corn,
62,6/20/2017 14:30,77.117,42.257,CBE,4,corn,
