number,date_time,temp,RH,site,block,treatment
1,6/19/2017 8:00,70.286,60.56,CBE,4,prairie
2,6/19/2017 8:30,70.286,60.621,CBE,4,prairie
3,6/19/2017 9:00,70.243,60.434,CBE,4,prairie
4,6/19/2017 9:30,73.386,71.541,CBE,4,prairie
5,6/19/2017 10:00,84.227,53.526,CBE,4,prairie
6,6/19/2017 10:30,83.287,53.771,CBE,4,prairie
7,6/19/2017 11:00,82.263,49.858,CBE,4,prairie
8,6/19/2017 11:30,91.355,48.262,CBE,4,prairie
9,6/19/2017 12:00,80.096,55.48,CBE,4,prairie
10,6/19/2017 12:30,85.035,54.098,CBE,4,prairie
11,6/19/2017 13:00,75.247,61.123,CBE,4,prairie
12,6/19/2017 13:30,67.885,80.333,CBE,4,prairie
13,6/19/2017 14:00,81.111,53.887,CBE,4,prairie
14,6/19/2017 14:30,78.208,61.325,CBE,4,prairie
15,6/19/2017 15:00,83.556,47.689,CBE,4,prairie
16,6/19/2017 15:30,78.645,57.772,CBE,4,prairie
17,6/19/2017 16:00,81.73,52.633,CBE,4,prairie
18,6/19/2017 16:30,82.042,49.037,CBE,4,prairie
19,6/19/2017 17:00,79.347,52.483,CBE,4,prairie
20,6/19/2017 17:30,80.184,56.053,CBE,4,prairie
21,6/19/2017 18:00,76.332,56.302,CBE,4,prairie
22,6/19/2017 18:30,69.17,64.082,CBE,4,prairie
23,6/19/2017 19:00,64.033,72.727,CBE,4,prairie
24,6/19/2017 19:30,60.046,88.392,CBE,4,prairie
25,6/19/2017 20:00,60.561,87.012,CBE,4,prairie
26,6/19/2017 20:30,59.959,85.773,CBE,4,prairie
27,6/19/2017 21:00,57.722,87.414,CBE,4,prairie
28,6/19/2017 21:30,57.117,89.906,CBE,4,prairie
29,6/19/2017 22:00,57.333,88.852,CBE,4,prairie
30,6/19/2017 22:30,57.765,88.219,CBE,4,prairie
31,6/19/2017 23:00,58.066,88.552,CBE,4,prairie
32,6/19/2017 23:30,57.074,90.769,CBE,4,prairie
33,6/20/2017 0:00,56.079,93.78,CBE,4,prairie
