number,date_time,temp,RH,site,treatment
2437,8/9/2017 0:00,56.34,97.404,LUX,grass margin
2438,8/9/2017 0:30,55.515,97.457,LUX,grass margin
2439,8/9/2017 1:00,54.734,98.148,LUX,grass margin
2440,8/9/2017 1:30,55.515,98.393,LUX,grass margin
2441,8/9/2017 2:00,54.343,98.164,LUX,grass margin
2442,8/9/2017 2:30,53.69,98.592,LUX,grass margin
2443,8/9/2017 3:00,54.212,98.847,LUX,grass margin
2444,8/9/2017 3:30,53.994,98.989,LUX,grass margin
2445,8/9/2017 4:00,54.516,99.27,LUX,grass margin
2446,8/9/2017 4:30,55.299,99.265,LUX,grass margin
2447,8/9/2017 5:00,54.734,99.178,LUX,grass margin
2448,8/9/2017 5:30,55.081,99.332,LUX,grass margin
2449,8/9/2017 6:00,54.255,99.255,LUX,grass margin
2450,8/9/2017 6:30,54.082,99.478,LUX,grass margin
2451,8/9/2017 7:00,54.255,99.48,LUX,grass margin
2452,8/9/2017 7:30,56.122,99.542,LUX,grass margin
2453,8/9/2017 8:00,62.406,96.51,LUX,grass margin
2454,8/9/2017 8:30,72.523,91.206,LUX,grass margin
2455,8/9/2017 9:00,74.856,81.022,LUX,grass margin
2456,8/9/2017 9:30,77.335,72.516,LUX,grass margin
2457,8/9/2017 10:00,82.486,57.247,LUX,grass margin
2458,8/9/2017 10:30,85.802,49.855,LUX,grass margin
2459,8/9/2017 11:00,88.259,46.445,LUX,grass margin
2460,8/9/2017 11:30,89.269,41.319,LUX,grass margin
2461,8/9/2017 12:00,85.622,44.27,LUX,grass margin
2462,8/9/2017 12:30,92.338,36.346,LUX,grass margin
2463,8/9/2017 13:00,95.279,33.525,LUX,grass margin
2464,8/9/2017 13:30,92.197,32.653,LUX,grass margin
2465,8/9/2017 14:00,95.04,29.264,LUX,grass margin
2466,8/9/2017 14:30,88.534,34.314,LUX,grass margin
2467,8/9/2017 15:00,88.443,39.735,LUX,grass margin
2468,8/9/2017 15:30,90.936,34.198,LUX,grass margin
2469,8/9/2017 16:00,92.856,33.337,LUX,grass margin
2470,8/9/2017 16:30,92.057,34.152,LUX,grass margin
2471,8/9/2017 17:00,92.433,35.195,LUX,grass margin
