date,hours_since_deployment,block,treatment,exclosure_treatment,Initial_count,eggs_alive,1_instars,2_instars,3_instars,4_instars,5_instars,pupae,uknown_stage
7/17/2017,0,1,bare,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,bare,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,bare,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,corn,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,corn,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,corn,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,prairie,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,prairie,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,prairie,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,soy,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,soy,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,1,soy,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,bare,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,bare,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,bare,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,corn,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,corn,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,corn,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,prairie,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,prairie,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,prairie,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,soy,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,soy,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,2,soy,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,bare,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,bare,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,bare,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,corn,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,corn,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,corn,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,prairie,close,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,prairie,open,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,prairie,sham,12,12,0,0,0,0,0,0,0
7/17/2017,0,3,soy,close,12,12,0,0,0,0,0,0,0
