date,hours_since_deployment,deployment,block,treatment,exclosure_treatment,plant,Initial_count,eggs,1_instars,2_instars,3_instars,4_instars,5_instars,pupae,
12-Jul,0,1,1,prairie,open,1,12,,,,,,,,
12-Jul,0,1,1,prairie,open,2,12,,,,,,,,
12-Jul,0,1,1,prairie,open,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,1,prairie,closed,1,12,,,,,,,,
12-Jul,0,1,1,prairie,closed,2,12,,,,,,,,
12-Jul,0,1,1,prairie,closed,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,1,prairie,sham,1,12,,,,,,,,
12-Jul,0,1,1,prairie,sham,2,12,,,,,,,,
12-Jul,0,1,1,prairie,sham,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,1,soy,open,1,12,,,,,,,,
12-Jul,0,1,1,soy,open,2,12,,,,,,,,
12-Jul,0,1,1,soy,open,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,1,soy,closed,1,12,,,,,,,,
12-Jul,0,1,1,soy,closed,2,12,,,,,,,,
12-Jul,0,1,1,soy,closed,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,1,soy,sham,1,12,,,,,,,,
12-Jul,0,1,1,soy,sham,2,12,,,,,,,,
12-Jul,0,1,1,soy,sham,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,prairie,open,1,12,,,,,,,,
12-Jul,0,1,2,prairie,open,2,12,,,,,,,,
12-Jul,0,1,2,prairie,open,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,prairie,closed,1,12,,,,,,,,
12-Jul,0,1,2,prairie,closed,2,12,,,,,,,,
12-Jul,0,1,2,prairie,closed,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,prairie,sham,1,12,,,,,,,,
12-Jul,0,1,2,prairie,sham,2,12,,,,,,,,
12-Jul,0,1,2,prairie,sham,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,soy,open,1,12,,,,,,,,
12-Jul,0,1,2,soy,open,2,12,,,,,,,,
12-Jul,0,1,2,soy,open,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,soy,closed,1,12,,,,,,,,
12-Jul,0,1,2,soy,closed,2,12,,,,,,,,
12-Jul,0,1,2,soy,closed,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,2,soy,sham,1,12,,,,,,,,
12-Jul,0,1,2,soy,sham,2,12,,,,,,,,
12-Jul,0,1,2,soy,sham,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,3,prairie,open,1,12,,,,,,,,
12-Jul,0,1,3,prairie,open,2,12,,,,,,,,
12-Jul,0,1,3,prairie,open,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,3,prairie,closed,1,12,,,,,,,,
12-Jul,0,1,3,prairie,closed,2,12,,,,,,,,
12-Jul,0,1,3,prairie,closed,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,3,prairie,sham,1,12,,,,,,,,
12-Jul,0,1,3,prairie,sham,2,12,,,,,,,,
12-Jul,0,1,3,prairie,sham,3,12,12,0,0,0,0,0,0,
12-Jul,0,1,3,soy,open,1,12,,,,,,,,
12-Jul,0,1,3,soy,open,2,12,,,,,,,,
12-Jul,0,1,3,soy,open,3,12,12,0,0,0,0,0,0,
