date,hours_since_deployment,block,treatment,exclosure_treatment,initial_count,eggs,1_instars,2_instars,3_instars,4_instars,5_instars,pupae,total_all_stages
23-Aug,0,1,bare,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,1,bare,closed,12,11,0,0,0,0,0,0,11
23-Aug,8,1,bare,closed,12,11,0,0,0,0,0,0,11
23-Aug,11,1,bare,closed,12,11,0,0,0,0,0,0,11
23-Aug,13,1,bare,closed,12,11,0,0,0,0,0,0,11
24-Aug,19,1,bare,closed,12,6,0,0,0,0,0,0,6
24-Aug,22,1,bare,closed,12,6,0,0,0,0,0,0,6
24-Aug,26,1,bare,closed,12,7,0,0,0,0,0,0,7
25-Aug,49,1,bare,closed,12,3,0,0,0,0,0,0,3
26-Aug,71,1,bare,closed,12,2,0,0,0,0,0,0,2
27-Aug,97,1,bare,closed,12,0,1,0,0,0,0,0,1
29-Aug,145,1,bare,closed,12,0,0,0,0,0,0,0,0
5-Sep,312,1,bare,closed,12,0,0,0,0,0,0,0,0
12-Sep,480,1,bare,closed,12,0,0,0,0,0,1,0,1
17-Sep,600,1,bare,closed,12,0,0,0,0,0,0,1,1
23-Aug,0,1,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,6,1,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,8,1,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,11,1,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,13,1,bare,open,12,12,0,0,0,0,0,0,12
24-Aug,19,1,bare,open,12,12,0,0,0,0,0,0,12
24-Aug,22,1,bare,open,12,12,0,0,0,0,0,0,12
24-Aug,26,1,bare,open,12,12,0,0,0,0,0,0,12
25-Aug,49,1,bare,open,12,12,0,0,0,0,0,0,12
26-Aug,71,1,bare,open,12,8,2,0,0,0,0,0,10
27-Aug,97,1,bare,open,12,3,1,0,0,0,0,0,4
29-Aug,145,1,bare,open,12,0,0,1,0,0,0,0,1
5-Sep,312,1,bare,open,12,0,0,0,0,0,0,0,0
12-Sep,480,1,bare,open,12,0,0,0,0,0,0,0,0
17-Sep,600,1,bare,open,12,0,0,0,0,0,0,0,0
23-Aug,0,1,bare,sham,12,12,0,0,0,0,0,0,12
23-Aug,6,1,bare,sham,12,12,0,0,0,0,0,0,12
23-Aug,8,1,bare,sham,12,12,0,0,0,0,0,0,12
23-Aug,11,1,bare,sham,12,12,0,0,0,0,0,0,12
23-Aug,13,1,bare,sham,12,12,0,0,0,0,0,0,12
24-Aug,19,1,bare,sham,12,12,0,0,0,0,0,0,12
24-Aug,22,1,bare,sham,12,12,0,0,0,0,0,0,12
24-Aug,26,1,bare,sham,12,12,0,0,0,0,0,0,12
25-Aug,49,1,bare,sham,12,11,0,0,0,0,0,0,11
26-Aug,71,1,bare,sham,12,8,0,0,0,0,0,0,8
27-Aug,97,1,bare,sham,12,0,2,0,0,0,0,0,2
29-Aug,145,1,bare,sham,12,0,1,0,0,0,0,0,1
5-Sep,312,1,bare,sham,12,0,0,0,0,0,0,0,0
12-Sep,480,1,bare,sham,12,0,0,0,0,0,0,0,0
17-Sep,600,1,bare,sham,12,0,0,0,0,0,0,0,0
23-Aug,0,1,corn,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,1,corn,closed,12,11,0,0,0,0,0,0,11
23-Aug,8,1,corn,closed,12,11,0,0,0,0,0,0,11
23-Aug,11,1,corn,closed,12,11,0,0,0,0,0,0,11
23-Aug,13,1,corn,closed,12,11,0,0,0,0,0,0,11
24-Aug,19,1,corn,closed,12,11,0,0,0,0,0,0,11
24-Aug,22,1,corn,closed,12,11,0,0,0,0,0,0,11
24-Aug,26,1,corn,closed,12,10,0,0,0,0,0,0,10
25-Aug,49,1,corn,closed,12,10,1,0,0,0,0,0,11
26-Aug,71,1,corn,closed,12,10,1,0,0,0,0,0,11
27-Aug,97,1,corn,closed,12,3,5,0,0,0,0,0,8
29-Aug,145,1,corn,closed,12,0,6,1,0,0,0,0,7
5-Sep,312,1,corn,closed,12,0,0,0,2,5,0,0,7
12-Sep,480,1,corn,closed,12,0,0,0,0,0,2,1,3
17-Sep,600,1,corn,closed,12,0,0,0,0,0,0,3,3
23-Aug,0,1,corn,open,12,12,0,0,0,0,0,0,12
23-Aug,6,1,corn,open,12,11,0,0,0,0,0,0,11
23-Aug,8,1,corn,open,12,11,0,0,0,0,0,0,11
23-Aug,11,1,corn,open,12,11,0,0,0,0,0,0,11
23-Aug,13,1,corn,open,12,11,0,0,0,0,0,0,11
24-Aug,19,1,corn,open,12,11,0,0,0,0,0,0,11
24-Aug,22,1,corn,open,12,10,0,0,0,0,0,0,10
24-Aug,26,1,corn,open,12,11,0,0,0,0,0,0,11
25-Aug,49,1,corn,open,12,9,0,0,0,0,0,0,9
26-Aug,71,1,corn,open,12,8,0,0,0,0,0,0,8
27-Aug,97,1,corn,open,12,2,3,0,0,0,0,0,5
29-Aug,145,1,corn,open,12,0,1,0,0,0,0,0,1
5-Sep,312,1,corn,open,12,0,0,0,0,0,0,0,0
12-Sep,480,1,corn,open,12,0,0,0,0,0,0,0,0
17-Sep,600,1,corn,open,12,0,0,0,0,0,0,0,0
23-Aug,0,1,corn,sham,12,12,0,0,0,0,0,0,12
23-Aug,6,1,corn,sham,12,12,0,0,0,0,0,0,12
23-Aug,8,1,corn,sham,12,12,0,0,0,0,0,0,12
23-Aug,11,1,corn,sham,12,12,0,0,0,0,0,0,12
23-Aug,13,1,corn,sham,12,12,0,0,0,0,0,0,12
24-Aug,19,1,corn,sham,12,12,0,0,0,0,0,0,12
24-Aug,22,1,corn,sham,12,12,0,0,0,0,0,0,12
24-Aug,26,1,corn,sham,12,12,0,0,0,0,0,0,12
25-Aug,49,1,corn,sham,12,11,0,0,0,0,0,0,11
26-Aug,71,1,corn,sham,12,10,1,0,0,0,0,0,11
27-Aug,97,1,corn,sham,12,3,3,0,0,0,0,0,6
29-Aug,145,1,corn,sham,12,2,1,0,0,0,0,0,3
5-Sep,312,1,corn,sham,12,0,0,0,1,1,0,0,2
12-Sep,480,1,corn,sham,12,0,0,0,0,0,0,0,0
17-Sep,600,1,corn,sham,12,0,0,0,0,0,0,0,0
23-Aug,0,1,prairie,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,1,prairie,closed,12,11,0,0,0,0,0,0,11
23-Aug,8,1,prairie,closed,12,11,0,0,0,0,0,0,11
23-Aug,11,1,prairie,closed,12,10,0,0,0,0,0,0,10
23-Aug,13,1,prairie,closed,12,9,0,0,0,0,0,0,9
24-Aug,19,1,prairie,closed,12,9,0,0,0,0,0,0,9
24-Aug,22,1,prairie,closed,12,8,0,0,0,0,0,0,8
24-Aug,26,1,prairie,closed,12,7,0,0,0,0,0,0,7
25-Aug,49,1,prairie,closed,12,8,0,0,0,0,0,0,8
26-Aug,71,1,prairie,closed,12,7,1,0,0,0,0,0,8
27-Aug,97,1,prairie,closed,12,3,2,0,0,0,0,0,5
29-Aug,145,1,prairie,closed,12,0,3,0,0,0,0,0,3
5-Sep,312,1,prairie,closed,12,0,0,0,2,0,0,0,2
12-Sep,480,1,prairie,closed,12,0,0,0,0,0,2,0,2
17-Sep,600,1,prairie,closed,12,0,0,0,0,0,0,2,2
23-Aug,0,1,prairie,open,12,12,0,0,0,0,0,0,12
23-Aug,6,1,prairie,open,12,10,0,0,0,0,0,0,10
23-Aug,8,1,prairie,open,12,10,0,0,0,0,0,0,10
23-Aug,11,1,prairie,open,12,10,0,0,0,0,0,0,10
23-Aug,13,1,prairie,open,12,7,0,0,0,0,0,0,7
24-Aug,19,1,prairie,open,12,6,0,0,0,0,0,0,6
24-Aug,22,1,prairie,open,12,6,0,0,0,0,0,0,6
24-Aug,26,1,prairie,open,12,5,0,0,0,0,0,0,5
25-Aug,49,1,prairie,open,12,5,0,0,0,0,0,0,5
26-Aug,71,1,prairie,open,12,2,0,0,0,0,0,0,2
27-Aug,97,1,prairie,open,12,1,1,0,0,0,0,0,2
29-Aug,145,1,prairie,open,12,0,0,0,0,0,0,0,0
5-Sep,312,1,prairie,open,12,0,0,0,0,0,0,0,0
12-Sep,480,1,prairie,open,12,0,0,0,0,0,0,0,0
17-Sep,600,1,prairie,open,12,0,0,0,0,0,0,0,0
23-Aug,0,1,prairie,sham,12,12,0,0,0,0,0,0,12
23-Aug,6,1,prairie,sham,12,12,0,0,0,0,0,0,12
23-Aug,8,1,prairie,sham,12,12,0,0,0,0,0,0,12
23-Aug,11,1,prairie,sham,12,12,0,0,0,0,0,0,12
23-Aug,13,1,prairie,sham,12,12,0,0,0,0,0,0,12
24-Aug,19,1,prairie,sham,12,7,0,0,0,0,0,0,7
24-Aug,22,1,prairie,sham,12,7,0,0,0,0,0,0,7
24-Aug,26,1,prairie,sham,12,7,0,0,0,0,0,0,7
25-Aug,49,1,prairie,sham,12,4,0,0,0,0,0,0,4
26-Aug,71,1,prairie,sham,12,0,0,0,0,0,0,0,0
27-Aug,97,1,prairie,sham,12,0,0,0,0,0,0,0,0
29-Aug,145,1,prairie,sham,12,0,1,0,0,0,0,0,1
5-Sep,312,1,prairie,sham,12,0,0,0,0,0,0,0,0
12-Sep,480,1,prairie,sham,12,0,0,0,0,0,0,0,0
17-Sep,600,1,prairie,sham,12,0,0,0,0,0,0,0,0
23-Aug,0,1,soy,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,1,soy,closed,12,10,0,0,0,0,0,0,10
23-Aug,8,1,soy,closed,12,10,0,0,0,0,0,0,10
23-Aug,11,1,soy,closed,12,10,0,0,0,0,0,0,10
23-Aug,13,1,soy,closed,12,10,0,0,0,0,0,0,10
24-Aug,19,1,soy,closed,12,10,0,0,0,0,0,0,10
24-Aug,22,1,soy,closed,12,9,0,0,0,0,0,0,9
24-Aug,26,1,soy,closed,12,11,0,0,0,0,0,0,11
25-Aug,49,1,soy,closed,12,9,0,0,0,0,0,0,9
26-Aug,71,1,soy,closed,12,7,0,0,0,0,0,0,7
27-Aug,97,1,soy,closed,12,3,0,0,0,0,0,0,3
29-Aug,145,1,soy,closed,12,4,0,0,0,0,0,0,4
5-Sep,312,1,soy,closed,12,0,0,0,0,0,0,0,0
12-Sep,480,1,soy,closed,12,0,0,0,0,0,0,0,0
17-Sep,600,1,soy,closed,12,0,0,0,0,0,0,0,0
23-Aug,0,1,soy,open,12,12,0,0,0,0,0,0,12
23-Aug,6,1,soy,open,12,10,0,0,0,0,0,0,10
23-Aug,8,1,soy,open,12,10,0,0,0,0,0,0,10
23-Aug,11,1,soy,open,12,10,0,0,0,0,0,0,10
23-Aug,13,1,soy,open,12,10,0,0,0,0,0,0,10
24-Aug,19,1,soy,open,12,10,0,0,0,0,0,0,10
24-Aug,22,1,soy,open,12,10,0,0,0,0,0,0,10
24-Aug,26,1,soy,open,12,8,0,0,0,0,0,0,8
25-Aug,49,1,soy,open,12,6,0,0,0,0,0,0,6
26-Aug,71,1,soy,open,12,6,0,0,0,0,0,0,6
27-Aug,97,1,soy,open,12,4,3,0,0,0,0,0,7
29-Aug,145,1,soy,open,12,1,4,0,0,0,0,0,5
5-Sep,312,1,soy,open,12,0,0,0,0,0,0,0,0
12-Sep,480,1,soy,open,12,0,0,0,0,0,0,0,0
17-Sep,600,1,soy,open,12,0,0,0,0,0,0,0,0
24-Aug,26,1,soy,sham,12,11,0,0,0,0,0,0,11
25-Aug,49,1,soy,sham,12,10,0,0,0,0,0,0,10
26-Aug,71,1,soy,sham,12,9,1,0,0,0,0,0,10
27-Aug,97,1,soy,sham,12,2,3,0,0,0,0,0,5
29-Aug,145,1,soy,sham,12,1,1,0,0,0,0,0,2
5-Sep,312,1,soy,sham,12,0,0,0,0,0,0,0,0
12-Sep,480,1,soy,sham,12,0,0,0,0,0,0,0,0
17-Sep,600,1,soy,sham,12,0,0,0,0,0,0,0,0
23-Aug,0,1,soy,sham,12,12,0,0,0,0,0,0,12
23-Aug,6,1,soy,sham,12,11,0,0,0,0,0,0,11
23-Aug,8,1,soy,sham,12,11,0,0,0,0,0,0,11
23-Aug,11,1,soy,sham,12,11,0,0,0,0,0,0,11
23-Aug,13,1,soy,sham,12,11,0,0,0,0,0,0,11
24-Aug,19,1,soy,sham,12,11,0,0,0,0,0,0,11
24-Aug,22,1,soy,sham,12,11,0,0,0,0,0,0,11
23-Aug,0,1,turf,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,1,turf,closed,12,10,0,0,0,0,0,0,10
23-Aug,8,1,turf,closed,12,10,0,0,0,0,0,0,10
23-Aug,11,1,turf,closed,12,10,0,0,0,0,0,0,10
23-Aug,13,1,turf,closed,12,10,0,0,0,0,0,0,10
24-Aug,19,1,turf,closed,12,10,0,0,0,0,0,0,10
24-Aug,22,1,turf,closed,12,10,0,0,0,0,0,0,10
24-Aug,26,1,turf,closed,12,11,0,0,0,0,0,0,11
25-Aug,49,1,turf,closed,12,10,0,0,0,0,0,0,10
26-Aug,71,1,turf,closed,12,7,0,0,0,0,0,0,7
27-Aug,97,1,turf,closed,12,8,0,0,0,0,0,0,8
29-Aug,145,1,turf,closed,12,5,3,0,0,0,0,0,8
5-Sep,312,1,turf,closed,12,0,0,0,1,1,0,0,2
12-Sep,480,1,turf,closed,12,0,0,0,0,0,2,0,2
17-Sep,600,1,turf,closed,12,0,0,0,0,0,0,2,2
23-Aug,0,1,turf,open,12,12,0,0,0,0,0,0,12
23-Aug,6,1,turf,open,12,12,0,0,0,0,0,0,12
23-Aug,8,1,turf,open,12,12,0,0,0,0,0,0,12
23-Aug,11,1,turf,open,12,8,0,0,0,0,0,0,8
23-Aug,13,1,turf,open,12,8,0,0,0,0,0,0,8
24-Aug,19,1,turf,open,12,8,0,0,0,0,0,0,8
24-Aug,22,1,turf,open,12,4,0,0,0,0,0,0,4
24-Aug,26,1,turf,open,12,4,0,0,0,0,0,0,4
25-Aug,49,1,turf,open,12,4,0,0,0,0,0,0,4
26-Aug,71,1,turf,open,12,3,0,0,0,0,0,0,3
27-Aug,97,1,turf,open,12,3,1,0,0,0,0,0,4
29-Aug,145,1,turf,open,12,1,1,1,0,0,0,0,3
5-Sep,312,1,turf,open,12,0,0,0,0,0,0,0,0
12-Sep,480,1,turf,open,12,0,0,0,0,0,0,0,0
17-Sep,600,1,turf,open,12,0,0,0,0,0,0,0,0
23-Aug,0,1,turf,sham,8,8,0,0,0,0,0,0,8
23-Aug,6,1,turf,sham,8,7,0,0,0,0,0,0,7
23-Aug,8,1,turf,sham,8,7,0,0,0,0,0,0,7
23-Aug,11,1,turf,sham,8,7,0,0,0,0,0,0,7
23-Aug,13,1,turf,sham,8,7,0,0,0,0,0,0,7
24-Aug,19,1,turf,sham,8,7,0,0,0,0,0,0,7
24-Aug,22,1,turf,sham,8,7,0,0,0,0,0,0,7
24-Aug,26,1,turf,sham,8,7,0,0,0,0,0,0,7
25-Aug,49,1,turf,sham,8,7,0,0,0,0,0,0,7
26-Aug,71,1,turf,sham,8,7,0,0,0,0,0,0,7
27-Aug,97,1,turf,sham,8,2,0,0,0,0,0,0,2
29-Aug,145,1,turf,sham,8,3,0,0,0,0,0,0,3
5-Sep,312,1,turf,sham,8,0,0,0,0,0,0,0,0
12-Sep,480,1,turf,sham,8,0,0,0,0,0,0,0,0
17-Sep,600,1,turf,sham,8,0,0,0,0,0,0,0,0
23-Aug,0,2,bare,closed,12,12,0,0,0,0,0,0,12
23-Aug,6,2,bare,closed,12,12,0,0,0,0,0,0,12
23-Aug,8,2,bare,closed,12,12,0,0,0,0,0,0,12
23-Aug,11,2,bare,closed,12,12,0,0,0,0,0,0,12
23-Aug,13,2,bare,closed,12,12,0,0,0,0,0,0,12
24-Aug,19,2,bare,closed,12,11,0,0,0,0,0,0,11
24-Aug,22,2,bare,closed,12,11,0,0,0,0,0,0,11
24-Aug,26,2,bare,closed,12,11,0,0,0,0,0,0,11
25-Aug,49,2,bare,closed,12,11,0,0,0,0,0,0,11
26-Aug,71,2,bare,closed,12,9,0,0,0,0,0,0,9
27-Aug,97,2,bare,closed,12,3,3,0,0,0,0,0,6
29-Aug,145,2,bare,closed,12,1,4,0,0,0,0,0,5
5-Sep,312,2,bare,closed,12,0,0,0,0,2,0,0,2
12-Sep,480,2,bare,closed,12,0,0,0,0,0,3,0,3
17-Sep,600,2,bare,closed,12,0,0,0,0,0,0,2,2
23-Aug,0,2,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,6,2,bare,open,12,12,0,0,0,0,0,0,12
23-Aug,8,2,bare,open,12,11,0,0,0,0,0,0,11
23-Aug,11,2,bare,open,12,11,0,0,0,0,0,0,11
23-Aug,13,2,bare,open,12,11,0,0,0,0,0,0,11
24-Aug,19,2,bare,open,12,11,0,0,0,0,0,0,11
24-Aug,22,2,bare,open,12,11,0,0,0,0,0,0,11
24-Aug,26,2,bare,open,12,11,0,0,0,0,0,0,11
25-Aug,49,2,bare,open,12,11,0,0,0,0,0,0,11
26-Aug,71,2,bare,open,12,7,1,0,0,0,0,0,8
27-Aug,97,2,bare,open,12,2,1,0,0,0,0,0,3
29-Aug,145,2,bare,open,12,1,1,0,1,0,0,0,3
5-Sep,312,2,bare,open,12,0,0,0,0,0,0,0,0
12-Sep,480,2,bare,open,12,0,0,0,0,0,0,0,0
17-Sep,600,2,bare,open,12,0,0,0,0,0,0,0,0
23-Aug,0,2,bare,sham,12,12,0,0,0,0,0,0,12
23-Aug,6,2,bare,sham,12,10,0,0,0,0,0,0,10
