date,hours_since_deployment,block,treatment,exclosure_treatment,eggs,1_instars,2_instars,3_instars,4_instars,5_instars,pupae,total_all_stages,percent_survival_all_stages
23-Aug,0,1,corn,open,12,0,0,0,0,0,0,12,1
23-Aug,0,1,corn,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,1,corn,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,1,turf,open,12,0,0,0,0,0,0,12,1
23-Aug,0,1,turf,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,1,turf,sham,8,0,0,0,0,0,0,8,1
23-Aug,0,1,soy,open,12,0,0,0,0,0,0,12,1
23-Aug,0,1,soy,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,1,soy,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,1,fallow,open,12,0,0,0,0,0,0,12,1
23-Aug,0,1,fallow,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,1,fallow,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,1,prairie,open,12,0,0,0,0,0,0,12,1
23-Aug,0,1,prairie,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,1,prairie,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,2,corn,open,12,0,0,0,0,0,0,12,1
23-Aug,0,2,corn,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,2,corn,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,2,turf,open,12,0,0,0,0,0,0,12,1
23-Aug,0,2,turf,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,2,turf,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,2,soy,open,12,0,0,0,0,0,0,12,1
23-Aug,0,2,soy,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,2,soy,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,2,fallow,open,12,0,0,0,0,0,0,12,1
23-Aug,0,2,fallow,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,2,fallow,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,2,prairie,open,12,0,0,0,0,0,0,12,1
23-Aug,0,2,prairie,closed,12,0,0,0,0,0,0,12,1
23-Aug,0,2,prairie,sham,12,0,0,0,0,0,0,12,1
23-Aug,0,3,corn,open,12,0,0,0,0,0,0,12,1
