<<<<<<< HEAD
date,time,block,treatment,earwigs,coccin_adults,coccin_larvae,pres_ants,lacewing_larva,lacewing_adults,lw_egg,LL_fly,syrphid,par_wasp,pred_wasp,pentatomidae_ad_and_imm,spider,scorpionfly,lampyridae,cantharid_larva,harvestman,nabidae,slug
13-Jul,12:51,1,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:41,1,prairie,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13-Jul,11:03,2,soy,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
13-Jul,10:56,2,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:52,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:39,3,prairie,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13-Jul,11:35,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:35,4,prairie,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13-Jul,10:25,1,soy,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13-Jul,10:45,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:40,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:40,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:10,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:22,3,prairie,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13-Jul,23-Jul,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:50,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-Jul,10:30,1,soy,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14-Jul,10:15,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14-Jul,11:05,2,soy,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:44,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:50,3,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:41,3,prairie,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:00,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:10,4,prairie,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
14-Jul,12:45,1,soy,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:54,1,prairie,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
14-Jul,13:15,2,soy,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:05,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:27,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:27,3,prairie,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14-Jul,13:27,4,soy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14-Jul,13:27,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:38,1,prairie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:25,1,soy,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,10:08,2,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:52,2,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-Jul,10:35,3,prairie,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,10:26,3,soy,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,11:00,4,prairie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
