date,time,site,obs,treatment,plant,live_eggs,empty_eggs,number_prenolepis,number_cmac,number_lacewing_larvae,number_minute_pirate_bug,number_harvestman,number_ladybug_larva,number_jumping_spider,number_UI_spider,number_UI_caterpillar,number_pqua,number_tree_cricket,number_milkweed_tussock_moth_caterpillar,number_plant_bug,number_checkered_ladybug,number_adult_lacewing,number_milkweed_leaf_beetle_larva,number_red_legged_grasshopper,number_long_legged_fly,number_UI_spider_egg_sack,number_nabidae,number_UI_eggs,number_miridae,number_flower_beetle,number_lacewing_egg,number_polished_ladybug,number_syrphid_puparium,number_predatory_wasp,number_damselfly,number_milkweedbugs,number_small_ants,number_crickets,number_7_spotted_ladybug,number_earwig,number_UI_grasshopper,notes
8/13/2017,20:00,field 2,AM,full sun,SE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full sun,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full sun,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full sun,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full sun,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,2/3 plants removed,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,2/3 plants removed,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,2/3 plants removed,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,2/3 plants removed,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,2/3 plants removed,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,1/3 plants removed,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,1/3 plants removed,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,1/3 plants removed,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,1/3 plants removed,NW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,1/3 plants removed,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full shade,SE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full shade,SW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2017,20:00,field 2,AM,full shade,NE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
